TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
Cincinnati,09/02/2023,Eastern Ky.,W 66-13,32,36,5,4,32,68
Cincinnati,09/09/2023,@ Pittsburgh,W 27-21,26,24,7,2,46,50
Cincinnati,09/16/2023,Miami (OH),L 24-31 (1 OT),23,28,4,2,19,51
Cincinnati,09/23/2023,Oklahoma,L 6-20,32,42,6,,22,74
Cincinnati,09/29/2023,@ BYU,L 27-35,21,30,3,8,12,51
Cincinnati,10/14/2023,Iowa St.,L 10-30,30,34,4,,11,64
Cincinnati,10/21/2023,Baylor,L 29-32,33,34,7,6,36,67
Cincinnati,10/28/2023,@ Oklahoma St.,L 13-45,36,26,2,2,8,62
Cincinnati,11/04/2023,UCF,L 26-28,35,26,5,2,14,61
Cincinnati,11/11/2023,@ Houston,W 24-14,30,16,2,4,10,46
Cincinnati,11/18/2023,@ West Virginia,L 21-42,42,24,3,2,9,66
Cincinnati,11/25/2023,Kansas,L 16-49,24,28,3,2,11,52
