TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
Cincinnati,09/02/2023,Eastern Ky.,W 66-13,667,9.39,14,2,10,31:46,71,667,9.39,13,17,,7,7.00,55,55.00,
Cincinnati,09/09/2023,@ Pittsburgh,W 27-21,371,5.38,16,2,6,34:43,69,371,5.38,9,10,1,7,7.00,90,90.00,
Cincinnati,09/16/2023,Miami (OH),L 24-31 (1 OT),538,5.91,17,3,8,36:18,91,538,5.91,13,14,3,10,10.00,78,78.00,
Cincinnati,09/23/2023,Oklahoma,L 6-20,376,4.76,15,4,3,32:25,79,376,4.76,8,12,1,2,2.00,20,20.00,
Cincinnati,09/29/2023,@ BYU,L 27-35,498,5.93,18,3,9,35:01,84,498,5.93,13,13,,7,7.00,63,63.00,
Cincinnati,10/14/2023,Iowa St.,L 10-30,214,3.45,13,3,3,26:20,62,214,3.45,7,5,3,6,6.00,49,49.00,
Cincinnati,10/21/2023,Baylor,L 29-32,450,6.08,15,4,7,28:47,74,450,6.08,12,9,,4,4.00,40,40.00,
Cincinnati,10/28/2023,@ Oklahoma St.,L 13-45,442,5.89,16,2,6,30:33,75,442,5.89,12,7,1,4,4.00,50,50.00,
Cincinnati,11/04/2023,UCF,L 26-28,515,7.36,12,3,4,32:57,70,515,7.36,14,9,,8,8.00,75,75.00,
Cincinnati,11/11/2023,@ Houston,W 24-14,368,5.18,13,2,7,36:55,71,368,5.18,11,10,1,2,2.00,8,8.00,
Cincinnati,11/18/2023,@ West Virginia,L 21-42,332,5.72,12,1,5,25:11,58,332,5.72,10,7,1,5,5.00,38,38.00,
Cincinnati,11/25/2023,Kansas,L 16-49,342,4.68,15,2,6,32:41,73,342,4.68,16,5,,6,6.00,65,65.00,
