TeamNM,Date,Opponent,Result,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds
Colorado,09/02/2023,@ TCU,W 45-42,1,,,
Colorado,09/09/2023,Nebraska,W 36-14,,,,5
Colorado,09/16/2023,Colorado St.,W 43-35 (1 OT),1,,,
Colorado,09/23/2023,@ Oregon,L 6-42,,,,
Colorado,09/30/2023,Southern California,L 41-48,,,,
Colorado,10/07/2023,@ Arizona St.,W 27-24,1,,,
Colorado,10/13/2023,Stanford,L 43-46 (2 OT),,,,
Colorado,10/28/2023,@ UCLA,L 16-28,2,,,
Colorado,11/04/2023,Oregon St.,L 19-26,2,,,
Colorado,11/11/2023,Arizona,L 31-34,,,,
Colorado,11/17/2023,@ Washington St.,L 14-56,3/,,,
Colorado,11/25/2023,@ Utah,L 17-23,,,,
