TeamNM,Date,Opponent,Result,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds
Colorado,09/02/2023,@ TCU,W 45-42,7,414,1,1,,18,239,
Colorado,09/09/2023,Nebraska,W 36-14,7,466,6,,,,293,
Colorado,09/16/2023,Colorado St.,W 43-35 (1 OT),6,379,2,2,,46,275,
Colorado,09/23/2023,@ Oregon,L 6-42,2,104,,,,,80,
Colorado,09/30/2023,Southern California,L 41-48,6,388,4,1,,17,244,
Colorado,10/07/2023,@ Arizona St.,W 27-24,6,333,1,,,,266,
Colorado,10/13/2023,Stanford,L 43-46 (2 OT),6,376,3,,,,279,
Colorado,10/28/2023,@ UCLA,L 16-28,4,260,2,1,,8,161,
Colorado,11/04/2023,Oregon St.,L 19-26,4,260,3,1,,24,161,
Colorado,11/11/2023,Arizona,L 31-34,5,317,3,,,,202,
Colorado,11/17/2023,@ Washington St.,L 14-56,3,159,,5,,140/,61,
Colorado,11/25/2023,@ Utah,L 17-23,4,193,,3,,52,166,
