TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
Colorado,09/02/2023,@ TCU,W 45-42,47,38/,,510,4,200.09,38.00,13.421,0.809,510.00
Colorado,09/09/2023,Nebraska,W 36-14,44,32,,396,2,163.33,32.00,12.375,0.727,396.00
Colorado,09/16/2023,Colorado St.,W 43-35 (1 OT),47,38/,1,348,4,166.88,38.00,9.158,0.809,348.00
Colorado,09/23/2023,@ Oregon,L 6-42,33,23,,159,1,120.17,23.00,6.913,0.697,159.00
Colorado,09/30/2023,Southern California,L 41-48,45,30,1,371,4,160.81,30.00,12.367,0.667,371.00
Colorado,10/07/2023,@ Arizona St.,W 27-24,42,26,,239,1,117.56,26.00,9.192,0.619,239.00
Colorado,10/13/2023,Stanford,L 43-46 (2 OT),47,33,1,400,5,172.55,33.00,12.121,0.702,400.00
Colorado,10/28/2023,@ UCLA,L 16-28,43,27,,217,1,112.86,27.00,8.037,0.628,217.00
Colorado,11/04/2023,Oregon St.,L 19-26,39,24,,245,2,131.23,24.00,10.208,0.615,245.00
Colorado,11/11/2023,Arizona,L 31-34,35,22,,262,2,144.59,22.00,11.909,0.629,262.00
Colorado,11/17/2023,@ Washington St.,L 14-56,27,12,1,164,1,100.28,12.00,13.667,0.444,164.00
Colorado,11/25/2023,@ Utah,L 17-23,25,18,,225,2,174.00,18.00,12.500,0.720,225.00
