TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
Colorado,09/02/2023,@ TCU,W 45-42,1,3,133,44.3,,56,133
Colorado,09/09/2023,Nebraska,W 36-14,2,4,153,38.3,1,43,133
Colorado,09/16/2023,Colorado St.,W 43-35 (1 OT),2,5,242,48.4,,54,214
Colorado,09/23/2023,@ Oregon,L 6-42,3,7,281,40.1,,56,266
Colorado,09/30/2023,Southern California,L 41-48,,5,169,33.8,,48,166
Colorado,10/07/2023,@ Arizona St.,W 27-24,2,7,347,49.6,,60,332
Colorado,10/13/2023,Stanford,L 43-46 (2 OT),2,3,128,42.7,,57,128
Colorado,10/28/2023,@ UCLA,L 16-28,1,7,298,42.6,1,54,274
Colorado,11/04/2023,Oregon St.,L 19-26,3,7,317,45.3,,56,261
Colorado,11/11/2023,Arizona,L 31-34,3,6,275,45.8,,49,269
Colorado,11/17/2023,@ Washington St.,L 14-56,3,9/,406/,45.1,1,57,388/
Colorado,11/25/2023,@ Utah,L 17-23,,3,125,41.7,,43,114
