TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
Colorado,09/02/2023,@ TCU,W 45-42,38/,510,38.00,13.42,4,510.00,75
Colorado,09/09/2023,Nebraska,W 36-14,32,396,32.00,12.38,2,396.00,41
Colorado,09/16/2023,Colorado St.,W 43-35 (1 OT),38/,348,38.00,9.16,4,348.00,45
Colorado,09/23/2023,@ Oregon,L 6-42,23,159,23.00,6.91,1,159.00,21
Colorado,09/30/2023,Southern California,L 41-48,30,371,30.00,12.37,4,371.00,65
Colorado,10/07/2023,@ Arizona St.,W 27-24,26,239,26.00,9.19,1,239.00,43
Colorado,10/13/2023,Stanford,L 43-46 (2 OT),33,400,33.00,12.12,5,400.00,48
Colorado,10/28/2023,@ UCLA,L 16-28,27,217,27.00,8.04,1,217.00,45
Colorado,11/04/2023,Oregon St.,L 19-26,24,245,24.00,10.21,2,245.00,40
Colorado,11/11/2023,Arizona,L 31-34,22,262,22.00,11.91,2,262.00,47
Colorado,11/17/2023,@ Washington St.,L 14-56,12,164,12.00,13.67,1,164.00,45
Colorado,11/25/2023,@ Utah,L 17-23,18,225,18.00,12.50,2,225.00,33
