TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
Colorado,09/02/2023,@ TCU,W 45-42,3,3,21,2,1,,,,,,,
Colorado,09/09/2023,Nebraska,W 36-14,6,6,29,2,1,3,3,,,,,
Colorado,09/16/2023,Colorado St.,W 43-35 (1 OT),4,4,22,,2,2,2,,,,,
Colorado,09/23/2023,@ Oregon,L 6-42,1,1,6,,1,,,,,,,
Colorado,09/30/2023,Southern California,L 41-48,3,3,21,1,2,,,,,,,
Colorado,10/07/2023,@ Arizona St.,W 27-24,3,3,21,2,1,,,,,,,
Colorado,10/13/2023,Stanford,L 43-46 (2 OT),4,5,28,1,3,,,,1,,,
Colorado,10/28/2023,@ UCLA,L 16-28,3,3,13,,1,2,2,,,,,
Colorado,11/04/2023,Oregon St.,L 19-26,3,3,17,,2,1,1,,,,,
Colorado,11/11/2023,Arizona,L 31-34,5,5,31,2,2,1,1,,,,,
Colorado,11/17/2023,@ Washington St.,L 14-56,1,1,7,1,,,,,,,,
Colorado,11/25/2023,@ Utah,L 17-23,1,1,7,,1,,,,,,,
