TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
Colorado,09/02/2023,@ TCU,W 45-42,34,55,93,38,1.62,2,55.00,10
Colorado,09/09/2023,Nebraska,W 36-14,33,58,124,66,1.76,2,58.00,34
Colorado,09/16/2023,Colorado St.,W 43-35 (1 OT),25,70,114,44,2.80,,70.00,19
Colorado,09/23/2023,@ Oregon,L 6-42,25,40,115,75/,1.60,,40.00,28
Colorado,09/30/2023,Southern California,L 41-48,45,193,224,31,4.29,2,193.00,25
Colorado,10/07/2023,@ Arizona St.,W 27-24,30,56,112,56,1.87,2,56.00,16
Colorado,10/13/2023,Stanford,L 43-46 (2 OT),35,132,182,50,3.77,1,132.00,38
Colorado,10/28/2023,@ UCLA,L 16-28,24,25,83,58,1.04,,25.00,13
Colorado,11/04/2023,Oregon St.,L 19-26,19,-7,40,47,-0.37,,-7.00,8
Colorado,11/11/2023,Arizona,L 31-34,30,77,104,27,2.57,2,77.00,16
Colorado,11/17/2023,@ Washington St.,L 14-56,41,91,139,48,2.22,1,91.00,23
Colorado,11/25/2023,@ Utah,L 17-23,17,37,52,15,2.18,,37.00,11
