TeamNM,Date,Opponent,Result,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks
Colorado,09/02/2023,@ TCU,W 45-42,,,,
Colorado,09/09/2023,Nebraska,W 36-14,1,2,14,2.0
Colorado,09/16/2023,Colorado St.,W 43-35 (1 OT),3,,8,3.0
Colorado,09/23/2023,@ Oregon,L 6-42,2,,12,2.0
Colorado,09/30/2023,Southern California,L 41-48,1,2,13,2.0
Colorado,10/07/2023,@ Arizona St.,W 27-24,5,,31,5.0
Colorado,10/13/2023,Stanford,L 43-46 (2 OT),3,,12,3.0
Colorado,10/28/2023,@ UCLA,L 16-28,3,,10,3.0
Colorado,11/04/2023,Oregon St.,L 19-26,2,2,16,3.0
Colorado,11/11/2023,Arizona,L 31-34,,2,2,1.0
Colorado,11/17/2023,@ Washington St.,L 14-56,2,,18,2.0
Colorado,11/25/2023,@ Utah,L 17-23,1,,5,1.0
