TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
Colorado,09/02/2023,@ TCU,W 45-42,6,6,6,,,,,,,,1,,45
Colorado,09/09/2023,Nebraska,W 36-14,4,3,3,,,,,1,,,3,,36
Colorado,09/16/2023,Colorado St.,W 43-35 (1 OT),5,3,3,,,2/,2,2/,,,2,,43
Colorado,09/23/2023,@ Oregon,L 6-42,1,,1,,,,,,,,,,6
Colorado,09/30/2023,Southern California,L 41-48,6,5,5,,,,,1,,,,,41
Colorado,10/07/2023,@ Arizona St.,W 27-24,3,3,3,,,,,,,,2,,27
Colorado,10/13/2023,Stanford,L 43-46 (2 OT),6,5,5,1,1,,,,,,,,43
Colorado,10/28/2023,@ UCLA,L 16-28,1,1,1,,,,,,,,3,,16
Colorado,11/04/2023,Oregon St.,L 19-26,2,2,2,,1,,,,,1/,1,,19
Colorado,11/11/2023,Arizona,L 31-34,4,4,4,,,,,,,,1,,31
Colorado,11/17/2023,@ Washington St.,L 14-56,2,2,2,,,,,,,,,,14
Colorado,11/25/2023,@ Utah,L 17-23,2,2,2,,,,,,,,1,,17
