TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
Colorado,09/02/2023,@ TCU,W 45-42,46,20,,,,66
Colorado,09/09/2023,Nebraska,W 36-14,39,12,4,4,31,51
Colorado,09/16/2023,Colorado St.,W 43-35 (1 OT),61/,10,9,,17,71
Colorado,09/23/2023,@ Oregon,L 6-42,40,46,4,4,20,86
Colorado,09/30/2023,Southern California,L 41-48,39,16,3,2,17,55
Colorado,10/07/2023,@ Arizona St.,W 27-24,51,18,8,,39,69
Colorado,10/13/2023,Stanford,L 43-46 (2 OT),55,4,5,2,18,59
Colorado,10/28/2023,@ UCLA,L 16-28,52,28,5,,16,80
Colorado,11/04/2023,Oregon St.,L 19-26,47,10,5,2,26,57
Colorado,11/11/2023,Arizona,L 31-34,39,10,3,2,11,49
Colorado,11/17/2023,@ Washington St.,L 14-56,30,30,3,6,25,60
Colorado,11/25/2023,@ Utah,L 17-23,34,48,3,4,10,82
