TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
Colorado,09/02/2023,@ TCU,W 45-42,565,6.98,15,2,9,34:33,81,565,6.98,6,20,4,6,6.00,35,35.00,
Colorado,09/09/2023,Nebraska,W 36-14,454,5.90,18,1,9,30:19,77,454,5.90,4,16,3,9,9.00,80,80.00,
Colorado,09/16/2023,Colorado St.,W 43-35 (1 OT),418,5.81,13,,4,25:23,72,418,5.81,5,15,4,10,10.00,87,87.00,
Colorado,09/23/2023,@ Oregon,L 6-42,199,3.43,14,1,5,24:54,58,199,3.43,4,6,3,12,12.00,106,106.00,
Colorado,09/30/2023,Southern California,L 41-48,564,6.27,18,2,9,32:05,90,564,6.27,17/,12,3,7,7.00,60,60.00,
Colorado,10/07/2023,@ Arizona St.,W 27-24,295,4.10,16,2,5,25:12,72,295,4.10,5,12,2,8,8.00,65,65.00,
Colorado,10/13/2023,Stanford,L 43-46 (2 OT),532,6.49,13,2,6,25:18,82,532,6.49,11,19,2,17/,17.00,127,127.00,
Colorado,10/28/2023,@ UCLA,L 16-28,242,3.61,14,,4,26:46,67,242,3.61,5,12,3,7,7.00,60,60.00,
Colorado,11/04/2023,Oregon St.,L 19-26,238,4.10,14,,5,24:02,58,238,4.10,1,12,2,8,8.00,42,42.00,
Colorado,11/11/2023,Arizona,L 31-34,339,5.22,14,1,5,31:48,65,339,5.22,4,11,3,11,11.00,83,83.00,
Colorado,11/17/2023,@ Washington St.,L 14-56,255,3.75,16,2,4,29:25,68,255,3.75,6,7,2,5,5.00,50,50.00,
Colorado,11/25/2023,@ Utah,L 17-23,262,6.24,9,2,3,20:56,42,262,6.24,2,11,,7,7.00,59,59.00,
