TeamNM,Date,Opponent,Result,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays
Houston,09/02/2023,UTSA,W 17-14,19,233,3,,48,14,415,,65
Houston,09/09/2023,@ Rice,L 41-43 (2 OT),,260,1,,24,37,504,,68
Houston,09/16/2023,TCU,L 13-36,35,225,1,,-1,201,501,,52
Houston,09/23/2023,Sam Houston,W 38-7,18,352,1,,-5,,551,,74
Houston,09/30/2023,@ Texas Tech,L 28-49,,336,,,-1,27,515,,67
Houston,10/12/2023,West Virginia,W 41-39,,253,1,,18,184,595,,55
Houston,10/21/2023,Texas,L 24-31,,378,,,6,41,439,,56
Houston,10/28/2023,@ Kansas St.,L 0-41,,95,,,4,35,247,,45
Houston,11/04/2023,@ Baylor,W 25-24 (1 OT),15,236,1,,,37,418,,56
Houston,11/11/2023,Cincinnati,L 14-24,,102,,,7,11,259,,41
Houston,11/18/2023,Oklahoma St.,L 30-43,57,263,1,,,38,488,,50
Houston,11/25/2023,@ UCF,L 13-27,,165,,,,,259,,44
