TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
Houston,09/02/2023,UTSA,W 17-14,34,22,,233,2.0,141.68,22.0,10.591,0.647,233.0,38,101,137,36,2.66,,101.0,21,22,233,22.0,10.59,2.0,233.0,47,334,4.64,15,2.0,5,30:13,72,334,4.64,6,10,3.0,3,3.0,25,25.0,,19.0,233,3.0,,48.0,14.0,415,,65,2.0,2.0,2.0,,,,,,,,1.0,,17.0,1.0,,6.0,1.0,37,24,4,2.0,15,61,19.0,2,3.0,,5.0,,,,,1.0,2.0,,31.0,3.0,5,219,43.8,1.0,54,199,1.0,,48.0,3,186,,1.0,,14.0,156,,2.0,4.0,14.0,,2.0,,,,,1.0,,,,3.0,,,,3.0,
Houston,09/09/2023,@ Rice,L 41-43 (2 OT),43,24,1.0,260,2.0,117.3,24.0,10.833,0.558,260.0,38,183,205,22,4.82,4.0,183.0,23,24,260,24.0,10.83,2.0,260.0,52,443,5.47,17,4.0,9,28:10,81,443,5.47,11,14,2.0,6,6.0,44,44.0,,,260,1.0,,24.0,37.0,504,,68,6.0,5.0,5.0,,,,,1.0,,,,,41.0,2.0,,16.0,2.0,41,22,5,2.0,30,63,,7,1.0,,8.0,1.0,,,,,,,,1.0,3,159,53.0,1.0,66,139,2.0,,24.0,5,303,1.0,3.0,,37.0,209,,6.0,7.0,41.0,4.0,2.0,,,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0
Houston,09/16/2023,TCU,L 13-36,35,17,2.0,225,,91.14,17.0,13.235,0.486,225.0,27,41,77,36,1.52,,41.0,20,17,225,17.0,13.24,,225.0,53,266,4.29,15,4.0,4,26:00,62,266,4.29,3,8,1.0,7,7.0,60,60.0,,35.0,225,1.0,,-1.0,201.0,501,,52,1.0,1.0,1.0,,,,,,,,2.0,,13.0,3.0,,16.0,3.0,50,30,5,2.0,34,80,35.0,5,1.0,,6.0,1.0,,,,2.0,3.0,,44.0,1.0,4,184,46.0,,51,184,1.0,,-1.0,4,256,3.0,6.0,1.0,201.0,153,,1.0,3.0,3.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,2.0
Houston,09/23/2023,Sam Houston,W 38-7,42,32,,352,2.0,162.3,32.0,11.0,0.762,352.0,37,186,190,4,5.03,3.0,186.0,31,32,352,32.0,11.0,2.0,352.0,58,538,6.81,13,1.0,7,34:55,79,538,6.81,10,15,2.0,11,11.0,95,95.0,,18.0,352,1.0,,-5.0,,551,,74,5.0,5.0,5.0,,,,,,,,1.0,,38.0,1.0,2.0,8.0,2.0,28,20,3,4.0,11,48,18.0,1,1.0,,2.0,1.0,,,,1.0,2.0,,23.0,1.0,1,37,37.0,,37,37,3.0,,-5.0,7,453,3.0,1.0,,,345,,5.0,6.0,31.0,3.0,1.0,1.0,1.0,,,,1/,,1.0,1.0,,1.0,,1.0,
Houston,09/30/2023,@ Texas Tech,L 28-49,42,30,,336,4.0,170.06,30.0,11.2,0.714,336.0,34,153,164,11,4.5,,153.0,18,30,336,30.0,11.2,4.0,336.0,49,489,6.43,16,1.0,10,35:11,76,489,6.43,10,16,,4,4.0,47,47.0,,,336,,,-1.0,27.0,515,,67,4.0,4.0,4.0,,,,,,,,,,28.0,1.0,,1.0,1.0,33,22,3,,7,55,,3,,,3.0,,,,,,1.0,,,1.0,5,181,36.2,,56,174,1.0,,-1.0,5,311,3.0,2.0,,27.0,124,,2.0,2.0,14.0,,2.0,,,,,,,,,,,,,,
Houston,10/12/2023,West Virginia,W 41-39,27,21,,253,4.0,205.38,21.0,12.048,0.778,253.0,26,140,158,18,5.38,1.0,140.0,58,21,253,21.0,12.05,4.0,253.0,49,393,7.42,9,,3,23:14,53,393,7.42,4,13,3.0,7,7.0,70,70.0,,,253,1.0,,18.0,184.0,595,,55,6.0,5.0,5.0,,,,,,,,,,41.0,,,,,48,28,5,2.0,12,76,,7,1.0,,8.0,,,,,,,,,3.0,6,247,41.2,,50,244,2.0,,18.0,6,364,1.0,5.0,1.0,184.0,247,,3.0,3.0,21.0,1.0,2.0,,,,,,,,,1.0,,,,1.0,
Houston,10/21/2023,Texas,L 24-31,46,32,1.0,378,3.0,155.77,32.0,11.813,0.696,378.0,19,14,41,27,0.74,,14.0,12,32,378,32.0,11.81,3.0,378.0,51,392,6.03,13,3.0,4,28:02,65,392,6.03,2,17,1.0,1,1.0,15,15.0,,,378,,,6.0,41.0,439,,56,3.0,3.0,3.0,,,,,,,,1.0,,24.0,3.0,,17.0,3.0,42,32,3,,17,74,,2,,,2.0,,,,,1.0,1.0,,40.0,,4,153,38.3,,47,141,3.0,,6.0,5,311,3.0,2.0,,41.0,158,,2.0,3.0,10.0,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,1.0
Houston,10/28/2023,@ Kansas St.,L 0-41,33,15,1.0,95,,63.58,15.0,6.333,0.455,95.0,26,113,124,11,4.35,,113.0,17,15,95,15.0,6.33,,95.0,25,208,3.53,14,4.0,3,25:26,59,208,3.53,7,4,,6,6.0,60,60.0,,,95,,,4.0,35.0,247,,45,,,,,,,,,,,,,,2.0,,9.0,2.0,55,8,5,,17,63,,1,,,1.0,,,,,,1.0,,,1.0,5,200,40.0,,47,200,1.0,,4.0,1,65,1.0,3.0,,35.0,40,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0
Houston,11/04/2023,@ Baylor,W 25-24 (1 OT),27,21,2.0,236,2.0,160.83,21.0,11.238,0.778,236.0,32,130,146,16,4.06,1.0,130.0,19,21,236,21.0,11.24,2.0,236.0,33,366,6.2,10,,3,26:39,59,366,6.2,9,11,1.0,6,6.0,50,50.0,,15.0,236,1.0,,,37.0,418,,56,3.0,2.0,2.0,1/,1/,,,,,,1.0,,25.0,4.0,,34.0,4.0,49,12,5,,36,61,15.0,3,1.0,,4.0,,,,,1.0,2.0,,31.0,,3,111,37.0,,40,111,,,,4,223,2.0,2.0,,37.0,144,,1.0,2.0,3.0,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,1.0,2.0
Houston,11/11/2023,Cincinnati,L 14-24,28,16,3.0,102,2.0,89.89,16.0,6.375,0.571,102.0,23,139,149,10,6.04,,139.0,35,16,102,16.0,6.38,2.0,102.0,18,241,4.73,13,1.0,6,23:05,51,241,4.73,8,3,1.0,3,3.0,25,25.0,,,102,,,7.0,11.0,259,,41,2.0,2.0,2.0,,,,,,,,,,14.0,3.0,4.0,24.0,5.0,48,32,6,6.0,33,80,,1,,,1.0,2.0,,,,,,,,2.0,5,231,46.2,,61,227,1.0,,7.0,2,125,1.0,1.0,,11.0,100,,2.0,2.0,14.0,,2.0,,,,,,,,1.0,,,1.0,,,3.0
