TeamNM,Date,Opponent,Result,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd
Houston,09/02/2023,UTSA,W 17-14,,3,
Houston,09/09/2023,@ Rice,L 41-43 (2 OT),1,1,
Houston,09/16/2023,TCU,L 13-36,1,1,
Houston,09/23/2023,Sam Houston,W 38-7,1,1,
Houston,09/30/2023,@ Texas Tech,L 28-49,,,
Houston,10/12/2023,West Virginia,W 41-39,,1,
Houston,10/21/2023,Texas,L 24-31,,,
Houston,10/28/2023,@ Kansas St.,L 0-41,1,,
Houston,11/04/2023,@ Baylor,W 25-24 (1 OT),,1,1
Houston,11/11/2023,Cincinnati,L 14-24,1,,
Houston,11/18/2023,Oklahoma St.,L 30-43,,1,1
Houston,11/25/2023,@ UCF,L 13-27,,,1
