TeamNM,Date,Opponent,Result,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef
Houston,09/02/2023,UTSA,W 17-14,19,2,3,,5.00
Houston,09/09/2023,@ Rice,L 41-43 (2 OT),,7,1,,8.00
Houston,09/16/2023,TCU,L 13-36,35,5,1,,6.00
Houston,09/23/2023,Sam Houston,W 38-7,18,1,1,,2.00
Houston,09/30/2023,@ Texas Tech,L 28-49,,3,,,3.00
Houston,10/12/2023,West Virginia,W 41-39,,7,1,,8.00
Houston,10/21/2023,Texas,L 24-31,,2,,,2.00
Houston,10/28/2023,@ Kansas St.,L 0-41,,1,,,1.00
Houston,11/04/2023,@ Baylor,W 25-24 (1 OT),15,3,1,,4.00
Houston,11/11/2023,Cincinnati,L 14-24,,1,,,1.00
Houston,11/18/2023,Oklahoma St.,L 30-43,57,3,1,1/,4.00
Houston,11/25/2023,@ UCF,L 13-27,,1,,,1.00
