TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
Houston,09/02/2023,UTSA,W 17-14,34,22,,233,2,141.68,22.00,10.591,0.647,233.00
Houston,09/09/2023,@ Rice,L 41-43 (2 OT),43,24,1,260,2,117.30,24.00,10.833,0.558,260.00
Houston,09/16/2023,TCU,L 13-36,35,17,2,225,,91.14,17.00,13.235,0.486,225.00
Houston,09/23/2023,Sam Houston,W 38-7,42,32,,352,2,162.30,32.00,11.000,0.762,352.00
Houston,09/30/2023,@ Texas Tech,L 28-49,42,30,,336,4,170.06,30.00,11.200,0.714,336.00
Houston,10/12/2023,West Virginia,W 41-39,27,21,,253,4,205.38,21.00,12.048,0.778,253.00
Houston,10/21/2023,Texas,L 24-31,46,32,1,378,3,155.77,32.00,11.813,0.696,378.00
Houston,10/28/2023,@ Kansas St.,L 0-41,33,15,1,95,,63.58,15.00,6.333,0.455,95.00
Houston,11/04/2023,@ Baylor,W 25-24 (1 OT),27,21,2,236,2,160.83,21.00,11.238,0.778,236.00
Houston,11/11/2023,Cincinnati,L 14-24,28,16,3,102,2,89.89,16.00,6.375,0.571,102.00
Houston,11/18/2023,Oklahoma St.,L 30-43,30,18,2,263,2,142.31,18.00,14.611,0.600,263.00
Houston,11/25/2023,@ UCF,L 13-27,21,13,1,165,1,134.10,13.00,12.692,0.619,165.00
