TeamNM,Date,Opponent,Result,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds
Houston,09/02/2023,UTSA,W 17-14,1,,48
Houston,09/09/2023,@ Rice,L 41-43 (2 OT),2,,24
Houston,09/16/2023,TCU,L 13-36,1,,-1
Houston,09/23/2023,Sam Houston,W 38-7,3,,-5
Houston,09/30/2023,@ Texas Tech,L 28-49,1,,-1
Houston,10/12/2023,West Virginia,W 41-39,2,,18
Houston,10/21/2023,Texas,L 24-31,3,,6
Houston,10/28/2023,@ Kansas St.,L 0-41,1,,4
Houston,11/04/2023,@ Baylor,W 25-24 (1 OT),,,
Houston,11/11/2023,Cincinnati,L 14-24,1,,7
Houston,11/18/2023,Oklahoma St.,L 30-43,,,
Houston,11/25/2023,@ UCF,L 13-27,,,
