TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
Houston,09/02/2023,UTSA,W 17-14,3,5,219,43.8,1,54,199
Houston,09/09/2023,@ Rice,L 41-43 (2 OT),1,3,159,53.0,1,66,139
Houston,09/16/2023,TCU,L 13-36,1,4,184,46.0,,51,184
Houston,09/23/2023,Sam Houston,W 38-7,1,1,37,37.0,,37,37
Houston,09/30/2023,@ Texas Tech,L 28-49,1,5,181,36.2,,56,174
Houston,10/12/2023,West Virginia,W 41-39,3,6,247,41.2,,50,244
Houston,10/21/2023,Texas,L 24-31,,4,153,38.3,,47,141
Houston,10/28/2023,@ Kansas St.,L 0-41,1,5,200,40.0,,47,200
Houston,11/04/2023,@ Baylor,W 25-24 (1 OT),,3,111,37.0,,40,111
Houston,11/11/2023,Cincinnati,L 14-24,2,5,231,46.2,,61,227
Houston,11/18/2023,Oklahoma St.,L 30-43,2,6,240,40.0,,49,228
Houston,11/25/2023,@ UCF,L 13-27,,2,60,30.0,,35,43
