TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
Houston,09/02/2023,UTSA,W 17-14,22,233,22.00,10.59,2,233.00,47
Houston,09/09/2023,@ Rice,L 41-43 (2 OT),24,260,24.00,10.83,2,260.00,52
Houston,09/16/2023,TCU,L 13-36,17,225,17.00,13.24,,225.00,53
Houston,09/23/2023,Sam Houston,W 38-7,32,352,32.00,11.00,2,352.00,58
Houston,09/30/2023,@ Texas Tech,L 28-49,30,336,30.00,11.20,4,336.00,49
Houston,10/12/2023,West Virginia,W 41-39,21,253,21.00,12.05,4,253.00,49
Houston,10/21/2023,Texas,L 24-31,32,378,32.00,11.81,3,378.00,51
Houston,10/28/2023,@ Kansas St.,L 0-41,15,95,15.00,6.33,,95.00,25
Houston,11/04/2023,@ Baylor,W 25-24 (1 OT),21,236,21.00,11.24,2,236.00,33
Houston,11/11/2023,Cincinnati,L 14-24,16,102,16.00,6.38,2,102.00,18
Houston,11/18/2023,Oklahoma St.,L 30-43,18,263,18.00,14.61,2,263.00,60
Houston,11/25/2023,@ UCF,L 13-27,13,165,13.00,12.69,1,165.00,30
