TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
Houston,09/02/2023,UTSA,W 17-14,2,4,14,,2,,,,,1,,
Houston,09/09/2023,@ Rice,L 41-43 (2 OT),6,7,41,4,2,,,,,1,,
Houston,09/16/2023,TCU,L 13-36,1,3,3,,,1,1,,1,1,,
Houston,09/23/2023,Sam Houston,W 38-7,5,6,31,3,1,1,1,,,,1/,
Houston,09/30/2023,@ Texas Tech,L 28-49,2,2,14,,2,,,,,,,
Houston,10/12/2023,West Virginia,W 41-39,3,3,21,1,2,,,,,,,
Houston,10/21/2023,Texas,L 24-31,2,3,10,,1,1,1,,,1,,
Houston,10/28/2023,@ Kansas St.,L 0-41,,,,,,,,,,,,
Houston,11/04/2023,@ Baylor,W 25-24 (1 OT),1,2,3,,,1,1,,1,,,
Houston,11/11/2023,Cincinnati,L 14-24,2,2,14,,2,,,,,,,
Houston,11/18/2023,Oklahoma St.,L 30-43,,,,,,,,,,,,
Houston,11/25/2023,@ UCF,L 13-27,3,3,13,,1,2,2,,,,,
