TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
Houston,09/02/2023,UTSA,W 17-14,38,101,137,36,2.66,,101.00,21
Houston,09/09/2023,@ Rice,L 41-43 (2 OT),38,183,205,22,4.82,4,183.00,23
Houston,09/16/2023,TCU,L 13-36,27,41,77,36,1.52,,41.00,20
Houston,09/23/2023,Sam Houston,W 38-7,37,186,190,4,5.03,3,186.00,31
Houston,09/30/2023,@ Texas Tech,L 28-49,34,153,164,11,4.50,,153.00,18
Houston,10/12/2023,West Virginia,W 41-39,26,140,158,18,5.38,1,140.00,58
Houston,10/21/2023,Texas,L 24-31,19,14,41,27,0.74,,14.00,12
Houston,10/28/2023,@ Kansas St.,L 0-41,26,113,124,11,4.35,,113.00,17
Houston,11/04/2023,@ Baylor,W 25-24 (1 OT),32,130,146,16,4.06,1,130.00,19
Houston,11/11/2023,Cincinnati,L 14-24,23,139,149,10,6.04,,139.00,35
Houston,11/18/2023,Oklahoma St.,L 30-43,28,130,154,24,4.64,1,130.00,31
Houston,11/25/2023,@ UCF,L 13-27,31,94,134,40,3.03,,94.00,17
