TeamNM,Date,Opponent,Result,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks
Houston,09/02/2023,UTSA,W 17-14,1,,6,1.0
Houston,09/09/2023,@ Rice,L 41-43 (2 OT),2,,16,2.0
Houston,09/16/2023,TCU,L 13-36,3,,16,3.0
Houston,09/23/2023,Sam Houston,W 38-7,1,2,8,2.0
Houston,09/30/2023,@ Texas Tech,L 28-49,1,,1,1.0
Houston,10/12/2023,West Virginia,W 41-39,,,,
Houston,10/21/2023,Texas,L 24-31,3,,17,3.0
Houston,10/28/2023,@ Kansas St.,L 0-41,2,,9,2.0
Houston,11/04/2023,@ Baylor,W 25-24 (1 OT),4,,34,4.0
Houston,11/11/2023,Cincinnati,L 14-24,3,4,24,5.0
Houston,11/18/2023,Oklahoma St.,L 30-43,,,,
Houston,11/25/2023,@ UCF,L 13-27,3,,14,3.0
