TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
Houston,09/02/2023,UTSA,W 17-14,2,2,2,,,,,,,,1,,17
Houston,09/09/2023,@ Rice,L 41-43 (2 OT),6,5,5,,,,,1,,,,,41
Houston,09/16/2023,TCU,L 13-36,1,1,1,,,,,,,,2,,13
Houston,09/23/2023,Sam Houston,W 38-7,5,5,5,,,,,,,,1,,38
Houston,09/30/2023,@ Texas Tech,L 28-49,4,4,4,,,,,,,,,,28
Houston,10/12/2023,West Virginia,W 41-39,6,5,5,,,,,,,,,,41
Houston,10/21/2023,Texas,L 24-31,3,3,3,,,,,,,,1,,24
Houston,10/28/2023,@ Kansas St.,L 0-41,,,,,,,,,,,,,
Houston,11/04/2023,@ Baylor,W 25-24 (1 OT),3,2,2,1/,1/,,,,,,1,,25
Houston,11/11/2023,Cincinnati,L 14-24,2,2,2,,,,,,,,,,14
Houston,11/18/2023,Oklahoma St.,L 30-43,4,4,4,,,,,,,,,1/,30
Houston,11/25/2023,@ UCF,L 13-27,1,1,1,,,,,,,,2,,13
