TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
Houston,09/02/2023,UTSA,W 17-14,37,24,4,2,15,61
Houston,09/09/2023,@ Rice,L 41-43 (2 OT),41,22,5,2,30,63
Houston,09/16/2023,TCU,L 13-36,50,30,5,2,34,80
Houston,09/23/2023,Sam Houston,W 38-7,28,20,3,4,11,48
Houston,09/30/2023,@ Texas Tech,L 28-49,33,22,3,,7,55
Houston,10/12/2023,West Virginia,W 41-39,48,28,5,2,12,76
Houston,10/21/2023,Texas,L 24-31,42,32,3,,17,74
Houston,10/28/2023,@ Kansas St.,L 0-41,55,8,5,,17,63
Houston,11/04/2023,@ Baylor,W 25-24 (1 OT),49,12,5,,36,61
Houston,11/11/2023,Cincinnati,L 14-24,48,32,6,6,33,80
Houston,11/18/2023,Oklahoma St.,L 30-43,41,28,5,2,21,69
Houston,11/25/2023,@ UCF,L 13-27,46,32,6,2,20,78
