TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
Houston,09/02/2023,UTSA,W 17-14,334,4.64,15,2,5,30:13,72,334,4.64,6,10,3,3,3.00,25,25.00,
Houston,09/09/2023,@ Rice,L 41-43 (2 OT),443,5.47,17,4,9,28:10,81,443,5.47,11,14,2,6,6.00,44,44.00,
Houston,09/16/2023,TCU,L 13-36,266,4.29,15,4,4,26:00,62,266,4.29,3,8,1,7,7.00,60,60.00,
Houston,09/23/2023,Sam Houston,W 38-7,538,6.81,13,1,7,34:55,79,538,6.81,10,15,2,11,11.00,95,95.00,
Houston,09/30/2023,@ Texas Tech,L 28-49,489,6.43,16,1,10,35:11,76,489,6.43,10,16,,4,4.00,47,47.00,
Houston,10/12/2023,West Virginia,W 41-39,393,7.42,9,,3,23:14,53,393,7.42,4,13,3,7,7.00,70,70.00,
Houston,10/21/2023,Texas,L 24-31,392,6.03,13,3,4,28:02,65,392,6.03,2,17,1,1,1.00,15,15.00,
Houston,10/28/2023,@ Kansas St.,L 0-41,208,3.53,14,4,3,25:26,59,208,3.53,7,4,,6,6.00,60,60.00,
Houston,11/04/2023,@ Baylor,W 25-24 (1 OT),366,6.20,10,,3,26:39,59,366,6.20,9,11,1,6,6.00,50,50.00,
Houston,11/11/2023,Cincinnati,L 14-24,241,4.73,13,1,6,23:05,51,241,4.73,8,3,1,3,3.00,25,25.00,
Houston,11/18/2023,Oklahoma St.,L 30-43,393,6.78,11,2,2,27:48,58,393,6.78,7,9,2,10,10.00,79,79.00,
Houston,11/25/2023,@ UCF,L 13-27,259,4.98,10,5,1,27:04,52,259,4.98,7,8,2,4,4.00,20,20.00,
