TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
Iowa St.,09/02/2023,UNI,W 30-9,18,14,,116,2.0,168.58,14.0,8.286,0.778,116.0,27,134,135,1,4.96,1.0,134.0,26,14,116,14.0,8.29,2.0,116.0,36,250,5.56,11,1.0,2,25:36,45,250,5.56,4.0,4,2.0,9,9.0,81,81.0,,88.0,116,2.0,,60.0,26.0,424,,47,4,3,4,,,,,,,,1.0,,30,5.0,,26.0,5.0,34,32,7.0,4.0,33,66,88.0,7,2.0,1/,9.0,,,,,1.0,1.0,,56.0,2,8,429,53.6,2/,70/,378,2.0,,60.0,5,320,3.0,2.0,,26.0,221,,2.0,2.0,13.0,1.0,1.0,,,,,,,,,2.0,,,,2.0,
Iowa St.,09/09/2023,Iowa,L 13-20,44,23,1.0,203,1.0,93.98,23.0,8.826,0.523,203.0,31,87,101,14,2.81,,87.0,11,23,203,23.0,8.83,1.0,203.0,16,290,3.87,18,2.0,7,33:30,75,290,3.87,7.0,12,,2,2.0,24,24.0,,,203,1.0,,-4.0,,286,,58,1,1,1,,,,,,,,2.0,,13,1.0,,3.0,1.0,25,30,5.0,,16,55,,3,1.0,,4.0,,,,,2.0,3.0,1.0,46.0,3,6,311,51.8,2/,63,266,3.0,,-4.0,4,238,1.0,,,,175,,1.0,2.0,7.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,1.0
Iowa St.,09/16/2023,@ Ohio,L 7-10,24,17,2.0,233,1.0,149.47,17.0,13.706,0.708,233.0,23,38,56,18,1.65,,38.0,11,17,233,17.0,13.71,1.0,233.0,45,271,5.77,11,1.0,3,24:09,47,271,5.77,4.0,8,1.0,5,5.0,50,50.0,,,233,,,4.0,41.0,316,,43,1,1,1,,,,,,,,,,7,,,,,18,58/,3.0,,13,76,,5,,,5.0,,,,,,2.0,,,4/,5,219,43.8,,51,220,1.0,,4.0,2,130,1.0,2.0,,41.0,89,,1.0,2.0,7.0,,1.0,,1.0,,,,,,,,,,,,2.0
Iowa St.,09/23/2023,Oklahoma St.,W 34-27,38,27,,348,3.0,174.03,27.0,12.889,0.711,348.0,34,74,87,13,2.18,1.0,74.0,15,27,348,27.0,12.89,3.0,348.0,38,422,5.86,17,1.0,6,34:41,72,422,5.86,2.0,17,1.0,5,5.0,40,40.0,,19.0,348,2.0,,15.0,,456,,66,4,4,4,,,,,,,,2.0,,34,1.0,,17.0,1.0,24,28,2.0,2.0,20,52,19.0,3,2.0,,5.0,,,,,2.0,2.0,,51.0,4/,8,346,43.3,1,54,326,3.0,,15.0,7,440,6.0,,,,290,,1.0,1.0,7.0,1.0,,,,,,,,,,2.0,,,,2.0,
Iowa St.,09/30/2023,@ Oklahoma,L 20-50,37,19,2.0,202,2.0,104.24,19.0,10.632,0.514,202.0,27,150,166,16,5.56,,150.0,39,19,202,19.0,10.63,2.0,202.0,67,352,5.50,15,2.0,4,26:56,64,352,5.5,9.0,7,,6,6.0,41,41.0,,,202,1.0,,,,352,,47,2,2,2,,,,,,,,2.0,,20,1.0,,6.0,1.0,48,32,3.0,2.0,12,80,,8,1.0,,9.0,,,,,2.0,2.0,,48.0,1,4,119,29.8,,49,97,,,,6,383,3.0,,,,243,,1.0,1.0,3.0,,,1.0,1.0,,,,,,,1.0,,,,1.0,2.0
Iowa St.,10/07/2023,TCU,W 27-14,28,16,,138,1.0,110.33,16.0,8.625,0.571,138.0,37,215,229,14,5.81,2.0,215.0,55,16,138,16.0,8.63,1.0,138.0,24,353,5.43,15,1.0,5,32:18,65,353,5.43,6.0,8,2.0,1,1.0,15,15.0,,9.0,138,4.0,,4.0,,366,,57,3,3,3,,,,,,,,2.0,,27,2.0,,15.0,2.0,39,38,3.0,4.0,26,77,9.0,3,4.0,,7.0,,,,,2.0,3.0,,26.0,1,6,204,34.0,,45,191,,,4.0,5,311,,,,,206,,4.0,4.0,20.0,1.0,1.0,2.0,2.0,,,,,,,4.0,1.0,,,4.0,
Iowa St.,10/14/2023,@ Cincinnati,W 30-10,25,15,,241,2.0,167.38,15.0,16.067,0.6,241.0,38,123,134,11,3.24,1.0,123.0,20,15,241,15.0,16.07,2.0,241.0,75,364,5.78,15,3.0,5,33:40,63,364,5.78,8.0,7,2.0,5,5.0,55,55.0,,,241,2.0,,3.0,110.0,477,,60,3,3,3,,,,,,,,3.0,,30,1.0,2.0,10.0,2.0,27,38,5.0,2.0,21,65,,3,2.0,,5.0,1.0,,,,3.0,3.0,,34.0,1,3,126,42.0,1,55,106,3.0,,3.0,7,447,5.0,2.0,,110.0,284,,6.0,6.0,30.0,1.0,2.0,3.0,3.0,,,,,,,2.0,,,,2.0,
Iowa St.,10/28/2023,@ Baylor,W 30-18,31,19,1.0,238,1.0,129.97,19.0,12.526,0.613,238.0,35,162,186,24,4.63,2.0,162.0,49,19,238,19.0,12.53,1.0,238.0,48,400,6.06,15,,9,33:33,66,400,6.06,8.0,11,,4,4.0,18,18.0,,,238,1.0,,,27.0,427,,56,3,3,3,,,,,,,,3.0,,30,2.0,,13.0,2.0,38,16,8.0,,25,54,,4,1.0,,5.0,1.0,,,,3.0,3.0,,45.0,,3,129,43.0,,45,110,,,,7,451,5.0,1.0,,27.0,279,,3.0,3.0,17.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0
Iowa St.,11/04/2023,Kansas,L 21-28,27,21,1.0,258,,150.64,21.0,12.286,0.778,258.0,29,75,100,25,2.59,2.0,75.0,15,21,258,21.0,12.29,,258.0,42,333,5.95,12,1.0,6,29:33,56,333,5.95,4.0,10,2.0,7,7.0,65,65.0,,,258,,,,52.0,385,,51,2,1,1,1/,1/,,,,,,2.0,,21,,,,,28,30,,6.0,4,58,,3,,,3.0,,,,,2.0,2.0,,35.0,2,4,170,42.5,1,53,137,,,,5,304,3.0,1.0,,52.0,200,,4.0,4.0,21.0,2.0,,2.0,2.0,,,,,,,,,,,,1.0
Iowa St.,11/11/2023,@ BYU,W 45-13,25,16,,209,2.0,160.62,16.0,13.063,0.64,209.0,37,234,247,13,6.32,4.0,234.0,59,16,209,16.0,13.06,2.0,209.0,66,443,7.15,14,1.0,8,33:01,62,443,7.15,10.0,10,1.0,6,6.0,53,53.0,,34.0,209,2.0,6.0,45.0,,528,,57,6,6,6,,,,,,,,1.0,,45,1.0,4.0,14.0,3.0,36,30,3.0,6.0,17,66,34.0,6,2.0,,8.0,2.0,,,6.0,1.0,1.0,,31.0,2,4,183,45.8,,50,175,2.0,,45.0,8,442,1.0,,,,337,,5.0,5.0,31.0,3.0,1.0,1.0,1.0,,,,,,1.0,2.0,,1.0,,2.0,
Iowa St.,11/18/2023,Texas,L 16-26,32,24,1.0,323,2.0,174.16,24.0,13.458,0.75,323.0,21,9,33,24,0.43,,9.0,6,24,323,24.0,13.46,2.0,323.0,66,332,6.26,11,2.0,3,28:42,53,332,6.26,,15,1.0,4,4.0,35,35.0,,,323,,,,13.0,345,,47,2,1,2,,,,,,,,1.0,,16,4.0,,25.0,4.0,35,40,5.0,2.0,30,75,,5,,,5.0,1.0,,,,1.0,2.0,,45.0,2,4,181,45.3,,52,152,1.0,,,4,252,1.0,1.0,,13.0,167,,1.0,1.0,6.0,,1.0,,,,,,,,1.0,,,1.0,,,1.0
Iowa St.,11/25/2023,@ Kansas St.,W 42-35,12,8,,230,3.0,310.17/,8.0,28.75,0.667,230.0,23,258,289,31,11.22,3.0,258.0,77,8,230,8.0,28.75,3.0,230.0,82,488,13.94/,7,,3,17:48,35,488,13.94,4.0,6,,6,6.0,73,73.0,,,230,1.0,,,70.0,558,,38,6,6,6,,,,,,,,,,42,,,,,67/,12,4.0,2.0,9,79,,10,1.0,,11.0,,,,,,,,,2,4,155,38.8,,44,147,1.0,,,7,397,,5.0,,70.0,336,,,,,,,,,,,,,,,1.0,,,2.0,1.0,
Iowa St.,12/29/2023,@ Memphis,L 26-36,40,22,,446,3.0,173.41,22.0,20.273,0.55,446.0,20,0,34,34,,,,10,22,446,22.0,20.27,3.0,446.0,53,446,7.43,13,1.0,7,25:36,60,446,7.43,2.0,17,,3,3.0,19,19.0,,,446,,,,43.0,489,,46,3,2,2,,,,,1.0,,,2.0,,26,,,,,45,10,1.0,,3,55,,3,,,3.0,,,,,2.0,2.0,,39.0,1,3,131,43.7,,52,122,,,,6,357,,4.0,,43.0,293,,2.0,2.0,10.0,,1.0,1.0,1.0,,,,,,,,,,,,
