TeamNM,Date,Opponent,Result,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM
Iowa St.,09/02/2023,UNI,W 30-9,1,1,,56
Iowa St.,09/09/2023,Iowa,L 13-20,2,3,1,46
Iowa St.,09/16/2023,@ Ohio,L 7-10,,2,,
Iowa St.,09/23/2023,Oklahoma St.,W 34-27,2,2,,51
Iowa St.,09/30/2023,@ Oklahoma,L 20-50,2,2,,48
Iowa St.,10/07/2023,TCU,W 27-14,2,3,,26
Iowa St.,10/14/2023,@ Cincinnati,W 30-10,3,3,,34
Iowa St.,10/28/2023,@ Baylor,W 30-18,3,3,,45
Iowa St.,11/04/2023,Kansas,L 21-28,2,2,,35
Iowa St.,11/11/2023,@ BYU,W 45-13,1,1,,31
Iowa St.,11/18/2023,Texas,L 16-26,1,2,,45
Iowa St.,11/25/2023,@ Kansas St.,W 42-35,,,,
Iowa St.,12/29/2023,@ Memphis,L 26-36,2,2,,39
