TeamNM,Date,Opponent,Result,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds
Iowa St.,09/02/2023,UNI,W 30-9,5,320,3,2,,26,221,
Iowa St.,09/09/2023,Iowa,L 13-20,4,238,1,,,,175,
Iowa St.,09/16/2023,@ Ohio,L 7-10,2,130,1,2,,41,89,
Iowa St.,09/23/2023,Oklahoma St.,W 34-27,7,440,6,,,,290,
Iowa St.,09/30/2023,@ Oklahoma,L 20-50,6,383,3,,,,243,
Iowa St.,10/07/2023,TCU,W 27-14,5,311,,,,,206,
Iowa St.,10/14/2023,@ Cincinnati,W 30-10,7,447,5,2,,110,284,
Iowa St.,10/28/2023,@ Baylor,W 30-18,7,451,5,1,,27,279,
Iowa St.,11/04/2023,Kansas,L 21-28,5,304,3,1,,52,200,
Iowa St.,11/11/2023,@ BYU,W 45-13,8,442,1,,,,337,
Iowa St.,11/18/2023,Texas,L 16-26,4,252,1,1,,13,167,
Iowa St.,11/25/2023,@ Kansas St.,W 42-35,7,397,,5,,70,336,
Iowa St.,12/29/2023,@ Memphis,L 26-36,6,357,,4,,43,293,
