TeamNM,Date,Opponent,Result,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef
Iowa St.,09/02/2023,UNI,W 30-9,88,7,2,1/,9.00
Iowa St.,09/09/2023,Iowa,L 13-20,,3,1,,4.00
Iowa St.,09/16/2023,@ Ohio,L 7-10,,5,,,5.00
Iowa St.,09/23/2023,Oklahoma St.,W 34-27,19,3,2,,5.00
Iowa St.,09/30/2023,@ Oklahoma,L 20-50,,8,1,,9.00
Iowa St.,10/07/2023,TCU,W 27-14,9,3,4,,7.00
Iowa St.,10/14/2023,@ Cincinnati,W 30-10,,3,2,,5.00
Iowa St.,10/28/2023,@ Baylor,W 30-18,,4,1,,5.00
Iowa St.,11/04/2023,Kansas,L 21-28,,3,,,3.00
Iowa St.,11/11/2023,@ BYU,W 45-13,34,6,2,,8.00
Iowa St.,11/18/2023,Texas,L 16-26,,5,,,5.00
Iowa St.,11/25/2023,@ Kansas St.,W 42-35,,10,1,,11.00
Iowa St.,12/29/2023,@ Memphis,L 26-36,,3,,,3.00
