TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
Iowa St.,09/02/2023,UNI,W 30-9,18,14,,116,2,168.58,14.00,8.286,0.778,116.00
Iowa St.,09/09/2023,Iowa,L 13-20,44,23,1,203,1,93.98,23.00,8.826,0.523,203.00
Iowa St.,09/16/2023,@ Ohio,L 7-10,24,17,2,233,1,149.47,17.00,13.706,0.708,233.00
Iowa St.,09/23/2023,Oklahoma St.,W 34-27,38,27,,348,3,174.03,27.00,12.889,0.711,348.00
Iowa St.,09/30/2023,@ Oklahoma,L 20-50,37,19,2,202,2,104.24,19.00,10.632,0.514,202.00
Iowa St.,10/07/2023,TCU,W 27-14,28,16,,138,1,110.33,16.00,8.625,0.571,138.00
Iowa St.,10/14/2023,@ Cincinnati,W 30-10,25,15,,241,2,167.38,15.00,16.067,0.600,241.00
Iowa St.,10/28/2023,@ Baylor,W 30-18,31,19,1,238,1,129.97,19.00,12.526,0.613,238.00
Iowa St.,11/04/2023,Kansas,L 21-28,27,21,1,258,,150.64,21.00,12.286,0.778,258.00
Iowa St.,11/11/2023,@ BYU,W 45-13,25,16,,209,2,160.62,16.00,13.063,0.640,209.00
Iowa St.,11/18/2023,Texas,L 16-26,32,24,1,323,2,174.16,24.00,13.458,0.750,323.00
Iowa St.,11/25/2023,@ Kansas St.,W 42-35,12,8,,230,3,310.17/,8.00,28.750,0.667,230.00
Iowa St.,12/29/2023,@ Memphis,L 26-36,40,22,,446,3,173.41,22.00,20.273,0.550,446.00
