TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
Iowa St.,09/02/2023,UNI,W 30-9,2,8,429,53.6,2/,70/,378
Iowa St.,09/09/2023,Iowa,L 13-20,3,6,311,51.8,2/,63,266
Iowa St.,09/16/2023,@ Ohio,L 7-10,4/,5,219,43.8,,51,220
Iowa St.,09/23/2023,Oklahoma St.,W 34-27,4/,8,346,43.3,1,54,326
Iowa St.,09/30/2023,@ Oklahoma,L 20-50,1,4,119,29.8,,49,97
Iowa St.,10/07/2023,TCU,W 27-14,1,6,204,34.0,,45,191
Iowa St.,10/14/2023,@ Cincinnati,W 30-10,1,3,126,42.0,1,55,106
Iowa St.,10/28/2023,@ Baylor,W 30-18,,3,129,43.0,,45,110
Iowa St.,11/04/2023,Kansas,L 21-28,2,4,170,42.5,1,53,137
Iowa St.,11/11/2023,@ BYU,W 45-13,2,4,183,45.8,,50,175
Iowa St.,11/18/2023,Texas,L 16-26,2,4,181,45.3,,52,152
Iowa St.,11/25/2023,@ Kansas St.,W 42-35,2,4,155,38.8,,44,147
Iowa St.,12/29/2023,@ Memphis,L 26-36,1,3,131,43.7,,52,122
