TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
Iowa St.,09/02/2023,UNI,W 30-9,14,116,14.00,8.29,2,116.00,36
Iowa St.,09/09/2023,Iowa,L 13-20,23,203,23.00,8.83,1,203.00,16
Iowa St.,09/16/2023,@ Ohio,L 7-10,17,233,17.00,13.71,1,233.00,45
Iowa St.,09/23/2023,Oklahoma St.,W 34-27,27,348,27.00,12.89,3,348.00,38
Iowa St.,09/30/2023,@ Oklahoma,L 20-50,19,202,19.00,10.63,2,202.00,67
Iowa St.,10/07/2023,TCU,W 27-14,16,138,16.00,8.63,1,138.00,24
Iowa St.,10/14/2023,@ Cincinnati,W 30-10,15,241,15.00,16.07,2,241.00,75
Iowa St.,10/28/2023,@ Baylor,W 30-18,19,238,19.00,12.53,1,238.00,48
Iowa St.,11/04/2023,Kansas,L 21-28,21,258,21.00,12.29,,258.00,42
Iowa St.,11/11/2023,@ BYU,W 45-13,16,209,16.00,13.06,2,209.00,66
Iowa St.,11/18/2023,Texas,L 16-26,24,323,24.00,13.46,2,323.00,66
Iowa St.,11/25/2023,@ Kansas St.,W 42-35,8,230,8.00,28.75,3,230.00,82
Iowa St.,12/29/2023,@ Memphis,L 26-36,22,446,22.00,20.27,3,446.00,53
