TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
Iowa St.,09/02/2023,UNI,W 30-9,2,2,13,1,1,,,,,,,
Iowa St.,09/09/2023,Iowa,L 13-20,1,2,7,,1,,1,,,,,
Iowa St.,09/16/2023,@ Ohio,L 7-10,1,2,7,,1,,1,,,,,
Iowa St.,09/23/2023,Oklahoma St.,W 34-27,1,1,7,1,,,,,,,,
Iowa St.,09/30/2023,@ Oklahoma,L 20-50,1,1,3,,,1,1,,,,,
Iowa St.,10/07/2023,TCU,W 27-14,4,4,20,1,1,2,2,,,,,
Iowa St.,10/14/2023,@ Cincinnati,W 30-10,6,6,30,1,2,3,3,,,,,
Iowa St.,10/28/2023,@ Baylor,W 30-18,3,3,17,1,1,1,1,,,,,
Iowa St.,11/04/2023,Kansas,L 21-28,4,4,21,2,,2,2,,,,,
Iowa St.,11/11/2023,@ BYU,W 45-13,5,5,31,3,1,1,1,,,,,
Iowa St.,11/18/2023,Texas,L 16-26,1,1,6,,1,,,,,,,
Iowa St.,11/25/2023,@ Kansas St.,W 42-35,,,,,,,,,,,,
Iowa St.,12/29/2023,@ Memphis,L 26-36,2,2,10,,1,1,1,,,,,
