TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
Iowa St.,09/02/2023,UNI,W 30-9,27,134,135,1,4.96,1,134.00,26
Iowa St.,09/09/2023,Iowa,L 13-20,31,87,101,14,2.81,,87.00,11
Iowa St.,09/16/2023,@ Ohio,L 7-10,23,38,56,18,1.65,,38.00,11
Iowa St.,09/23/2023,Oklahoma St.,W 34-27,34,74,87,13,2.18,1,74.00,15
Iowa St.,09/30/2023,@ Oklahoma,L 20-50,27,150,166,16,5.56,,150.00,39
Iowa St.,10/07/2023,TCU,W 27-14,37,215,229,14,5.81,2,215.00,55
Iowa St.,10/14/2023,@ Cincinnati,W 30-10,38,123,134,11,3.24,1,123.00,20
Iowa St.,10/28/2023,@ Baylor,W 30-18,35,162,186,24,4.63,2,162.00,49
Iowa St.,11/04/2023,Kansas,L 21-28,29,75,100,25,2.59,2,75.00,15
Iowa St.,11/11/2023,@ BYU,W 45-13,37,234,247,13,6.32,4,234.00,59
Iowa St.,11/18/2023,Texas,L 16-26,21,9,33,24,0.43,,9.00,6
Iowa St.,11/25/2023,@ Kansas St.,W 42-35,23,258,289,31,11.22,3,258.00,77
Iowa St.,12/29/2023,@ Memphis,L 26-36,20,0,34,34,,,,10
