TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
Iowa St.,09/02/2023,UNI,W 30-9,4,3,4,,,,,,,,1,,30
Iowa St.,09/09/2023,Iowa,L 13-20,1,1,1,,,,,,,,2,,13
Iowa St.,09/16/2023,@ Ohio,L 7-10,1,1,1,,,,,,,,,,7
Iowa St.,09/23/2023,Oklahoma St.,W 34-27,4,4,4,,,,,,,,2,,34
Iowa St.,09/30/2023,@ Oklahoma,L 20-50,2,2,2,,,,,,,,2,,20
Iowa St.,10/07/2023,TCU,W 27-14,3,3,3,,,,,,,,2,,27
Iowa St.,10/14/2023,@ Cincinnati,W 30-10,3,3,3,,,,,,,,3,,30
Iowa St.,10/28/2023,@ Baylor,W 30-18,3,3,3,,,,,,,,3,,30
Iowa St.,11/04/2023,Kansas,L 21-28,2,1,1,1/,1/,,,,,,2,,21
Iowa St.,11/11/2023,@ BYU,W 45-13,6,6,6,,,,,,,,1,,45
Iowa St.,11/18/2023,Texas,L 16-26,2,1,2,,,,,,,,1,,16
Iowa St.,11/25/2023,@ Kansas St.,W 42-35,6,6,6,,,,,,,,,,42
Iowa St.,12/29/2023,@ Memphis,L 26-36,3,2,2,,,,,1,,,2,,26
