TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
Iowa St.,09/02/2023,UNI,W 30-9,34,32,7,4,33,66
Iowa St.,09/09/2023,Iowa,L 13-20,25,30,5,,16,55
Iowa St.,09/16/2023,@ Ohio,L 7-10,18,58/,3,,13,76
Iowa St.,09/23/2023,Oklahoma St.,W 34-27,24,28,2,2,20,52
Iowa St.,09/30/2023,@ Oklahoma,L 20-50,48,32,3,2,12,80
Iowa St.,10/07/2023,TCU,W 27-14,39,38,3,4,26,77
Iowa St.,10/14/2023,@ Cincinnati,W 30-10,27,38,5,2,21,65
Iowa St.,10/28/2023,@ Baylor,W 30-18,38,16,8,,25,54
Iowa St.,11/04/2023,Kansas,L 21-28,28,30,,6,4,58
Iowa St.,11/11/2023,@ BYU,W 45-13,36,30,3,6,17,66
Iowa St.,11/18/2023,Texas,L 16-26,35,40,5,2,30,75
Iowa St.,11/25/2023,@ Kansas St.,W 42-35,67/,12,4,2,9,79
Iowa St.,12/29/2023,@ Memphis,L 26-36,45,10,1,,3,55
