TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
Iowa St.,09/02/2023,UNI,W 30-9,250,5.56,11,1,2,25:36,45,250,5.56,4,4,2,9,9.00,81,81.00,
Iowa St.,09/09/2023,Iowa,L 13-20,290,3.87,18,2,7,33:30,75,290,3.87,7,12,,2,2.00,24,24.00,
Iowa St.,09/16/2023,@ Ohio,L 7-10,271,5.77,11,1,3,24:09,47,271,5.77,4,8,1,5,5.00,50,50.00,
Iowa St.,09/23/2023,Oklahoma St.,W 34-27,422,5.86,17,1,6,34:41,72,422,5.86,2,17,1,5,5.00,40,40.00,
Iowa St.,09/30/2023,@ Oklahoma,L 20-50,352,5.50,15,2,4,26:56,64,352,5.50,9,7,,6,6.00,41,41.00,
Iowa St.,10/07/2023,TCU,W 27-14,353,5.43,15,1,5,32:18,65,353,5.43,6,8,2,1,1.00,15,15.00,
Iowa St.,10/14/2023,@ Cincinnati,W 30-10,364,5.78,15,3,5,33:40,63,364,5.78,8,7,2,5,5.00,55,55.00,
Iowa St.,10/28/2023,@ Baylor,W 30-18,400,6.06,15,,9,33:33,66,400,6.06,8,11,,4,4.00,18,18.00,
Iowa St.,11/04/2023,Kansas,L 21-28,333,5.95,12,1,6,29:33,56,333,5.95,4,10,2,7,7.00,65,65.00,
Iowa St.,11/11/2023,@ BYU,W 45-13,443,7.15,14,1,8,33:01,62,443,7.15,10,10,1,6,6.00,53,53.00,
Iowa St.,11/18/2023,Texas,L 16-26,332,6.26,11,2,3,28:42,53,332,6.26,,15,1,4,4.00,35,35.00,
Iowa St.,11/25/2023,@ Kansas St.,W 42-35,488,13.94/,7,,3,17:48,35,488,13.94,4,6,,6,6.00,73,73.00,
Iowa St.,12/29/2023,@ Memphis,L 26-36,446,7.43,13,1,7,25:36,60,446,7.43,2,17,,3,3.00,19,19.00,
