TeamNM,Date,Opponent,Result,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays
Kansas,09/01/2023,Missouri St.,W 48-17,12,276,2,,,61,594,,64
Kansas,09/08/2023,Illinois,W 34-23,,277,2,,-2,41,578,,70
Kansas,09/16/2023,@ Nevada,W 31-24,,298,,,,,441,,61
Kansas,09/23/2023,BYU,W 38-27,54,130,2,22,13,47,487,,57
Kansas,09/30/2023,@ Texas,L 14-40,6,136,1,,,32,298,,37
Kansas,10/07/2023,UCF,W 51-22,,91,,6,82,43,621,,61
Kansas,10/14/2023,@ Oklahoma St.,L 32-39,,410,,,,58,558,,55
Kansas,10/28/2023,Oklahoma,W 38-33,37,218,1,,,114,594,,63
Kansas,11/04/2023,@ Iowa St.,W 28-21,50,287,1,,13,29,453,,53
Kansas,11/11/2023,Texas Tech,L 13-16,,137,1,,,,344,,56
Kansas,11/18/2023,Kansas St.,L 27-31,3,162,1,,2,34,435,,55
Kansas,11/25/2023,@ Cincinnati,W 49-16,,250,1,,,54,616,,51
Kansas,12/26/2023,"UNLV @Phoenix, AZ",W 49-36,15,449,2,,11,103,720,,67
