TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
Kansas,09/01/2023,Missouri St.,W 48-17,28,22,,276,2,184.94,22.0,12.545,0.786,276.0,38,245,259,14,6.45,4.0,245.0,48,22,276,22.0,12.55,2,276.0,52,521,7.89,11,2.0,6.0,33:47,66,521,7.89,12,13,2.0,3,3.0,35,35.0,,12.0,276,2.0,,,61.0,594,,64,6,6,6,,,,,,,,2.0,,48,1,,5.0,1.0,29,16.0,6.0,6.0,23.0,45,12.0,2,2.0,,4.0,1,,,,2.0,2.0,,35.0,,,,,,,,,,,9,585,8,2.0,,61.0,367,,6.0,6.0,34.0,2.0,2.0,2.0,2.0,,,,,,,2.0,,,1.0,2.0,
Kansas,09/08/2023,Illinois,W 34-23,29,21,1.0,277,2,168.51,21.0,13.19,0.724,277.0,44,262,284,22,5.95,2.0,262.0,43,21,277,21.0,13.19,2,277.0,48,539,7.38,13,1.0,9.0,36:39,73,539,7.38,12,12,3.0,4,4.0,34,34.0,,,277,2.0,,-2.0,41.0,578,,70,4,4,4,,,,,,,,2.0,,34,6/,,28.0,6.0,30,20.0,8.0,2.0,32.0,50,,5,2.0,,7.0,,,,,2.0,2.0,,41.0,,1.0,37.0,37.0,,37.0,37.0,1.0,,-2.0,7,440,6,2.0,,41.0,260,,5.0,5.0,31.0,2.0,2.0,1.0,1.0,,,,,,,2.0,,,1.0,2.0,1.0
Kansas,09/16/2023,@ Nevada,W 31-24,27,21,,298,,170.49,21.0,14.19,0.778,298.0,40,143,164,21,3.58,4.0,143.0,16,21,298,21.0,14.19,,298.0,59,441,6.58,11,,7.0,31:51,67,441,6.58,8,14,2.0,7,7.0,53,53.0,,,298,,,,,441,,61,4,4,4,,,,,,,,1.0,,31,1,,1.0,1.0,37,18.0,9.0,2.0,38.0,55,,3,,,3.0,4/,,,,1.0,1.0,,44.0,1.0,3.0,119.0,39.7,,47.0,119.0,,,,6,388,5,,,,263,,4.0,5.0,28.0,4.0,,,,,,,,1/,,,,,1.0,,
Kansas,09/23/2023,BYU,W 38-27,19,14,,130,3,183.26,14.0,9.286,0.737,130.0,37,221,238,17,5.97,,221.0,24,14,130,14.0,9.29,3,130.0,24,351,6.27,8,1.0,4.0,29:55,56,351,6.27,14,8,1.0,7,7.0,70,70.0,,54.0,130,2.0,22.0,13.0,47.0,487,,57,5,5,5,,,,,,,,1.0,,38,2,2.0,26.0,3.0,41,10.0,5.0,4.0,45.0,51,54.0,9,2.0,1/,11.0,2,,1/,22.0,1.0,1.0,,23.0,1.0,2.0,84.0,42.0,,43.0,84.0,1.0,,13.0,7,455,6,3.0,,47.0,280,,4.0,4.0,24.0,,3.0,1.0,1.0,,,,,,1.0,2.0,,1.0,,2.0,
Kansas,09/30/2023,@ Texas,L 14-40,21,9,,136,1,112.97,9.0,15.111,0.429,136.0,25,124,142,18,4.96,1.0,124.0,27,9,136,9.0,15.11,1,136.0,58,260,5.65,8,2.0,,18:27,46,260,5.65,4,6,1.0,3,3.0,20,20.0,,6.0,136,1.0,,,32.0,298,,37,2,2,2,,,,,,,,,,14,1,2.0,5.0,2.0,54,30.0,5.0,2.0,17.0,84,6.0,2,1.0,,3.0,,,,,,,,,3.0,6.0,272.0,45.3,,53.0,272.0,,,,3,166,2,2.0,,32.0,116,,,,,,,,,,,,,,,1.0,,,1.0,1.0,
Kansas,10/07/2023,UCF,W 51-22,12,8,,91,1,157.87,8.0,11.375,0.667,91.0,51,399,425,26,7.82,5.0,399.0,75,8,91,8.0,11.38,1,91.0,22,490,7.78,9,,6.0,34:23,63,490,7.78,17,7,1.0,2,2.0,20,20.0,,,91,,6.0,82.0,43.0,621,,61,7,6,6,,1/,,,,,,1.0,,51,4,,39.0,4.0,45,6.0,5.0,2.0,42.0,51,,3,,,3.0,1,,,6.0,1.0,2.0,,25.0,1.0,1.0,39.0,39.0,,39.0,39.0,1.0,1/,82.0,9,585,9,1.0,,43.0,360,,6.0,7.0,37.0,4.0,1.0,1.0,2.0,,,,,,1.0,,,1.0,,,
Kansas,10/14/2023,@ Oklahoma St.,L 32-39,34,23,2.0,410,5,205.71,23.0,17.826,0.676,410.0,29,90,127,37,3.1,,90.0,23,23,410,23.0,17.83,5,410.0,49,500,7.94,13,2.0,7.0,28:29,63,500,7.94,4,15,,3,3.0,22,22.0,,,410,,,,58.0,558,,55,5,2,3,,1/,,,1,,,,,32,1,,2.0,1.0,57,20.0,3.0,2.0,8.0,77,,5,,,5.0,1,,,,,,,,,3.0,122.0,40.7,,39.0,122.0,,,,6,358,2,3.0,,58.0,247,,,1.0,,,,,,,1.0,,,,,,,,,,2.0
Kansas,10/28/2023,Oklahoma,W 38-33,32,15,2.0,218,,91.6,15.0,14.533,0.469,218.0,41,225,230,5,5.49,4.0,225.0,38,15,218,15.0,14.53,,218.0,39,443,6.07,14,3.0,4.0,31:10,73,443,6.07,10,11,4.0,5,5.0,55,55.0,,37.0,218,1.0,,,114.0,594,,63,5,2,2,,1/,,,2/,,,2.0,,38,1,,1.0,1.0,53,22.0,4.0,,4.0,75,37.0,1,1.0,1/,2.0,1,,,,2.0,3.0,,29.0,,2.0,86.0,43.0,,49.0,86.0,,,,8,472,4,6.0,,114.0,347,,5.0,6.0,25.0,3.0,,2.0,3.0,,,,,,2.0,1.0,,2.0,1.0,1.0,2.0
Kansas,11/04/2023,@ Iowa St.,W 28-21,23,14,,287,1,180.03,14.0,20.5,0.609,287.0,35,74,91,17,2.11,2.0,74.0,9,14,287,14.0,20.5,1,287.0,80,361,6.22,13,1.0,6.0,30:27,58,361,6.22,2,11,3.0,8,8.0,80,80.0,,50.0,287,1.0,,13.0,29.0,453,,53,4,4,4,,,,,,,,,,28,1,2.0,13.0,2.0,31,26.0,5.0,4.0,20.0,57,50.0,2,1.0,1/,3.0,,,,,,2.0,,,1.0,3.0,116.0,38.7,,39.0,116.0,1.0,,13.0,5,286,2,2.0,,29.0,184,,2.0,2.0,14.0,2.0,,,,,,,,,,1.0,,,,1.0,
Kansas,11/11/2023,Texas Tech,L 13-16,25,10,1.0,137,,78.03,10.0,13.7,0.4,137.0,45,207,242,35,4.6,1.0,207.0,60,10,137,10.0,13.7,,137.0,31,344,4.91,15,2.0,7.0,28:37,70,344,4.91,10,6,2.0,4,4.0,31,31.0,,,137,1.0,,,,344,,56,1,1,1,,,,,,,,2.0,,13,3,,24.0,3.0,58,6.0,4.0,,26.0,64,,4,1.0,,5.0,1,,,,2.0,2.0,,24.0,,4.0,132.0,33.0,,40.0,132.0,,,,4,216,2,,,,166,,2.0,3.0,6.0,,,2.0,2.0,,,1.0,,,,1.0,,,,1.0,1.0
