TeamNM,Date,Opponent,Result,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds
Kansas,09/01/2023,Missouri St.,W 48-17,9,585,8,2,,61,367,
Kansas,09/08/2023,Illinois,W 34-23,7,440,6,2,,41,260,
Kansas,09/16/2023,@ Nevada,W 31-24,6,388,5,,,,263,
Kansas,09/23/2023,BYU,W 38-27,7,455,6,3,,47,280,
Kansas,09/30/2023,@ Texas,L 14-40,3,166,2,2,,32,116,
Kansas,10/07/2023,UCF,W 51-22,9,585,9,1,,43,360,
Kansas,10/14/2023,@ Oklahoma St.,L 32-39,6,358,2,3,,58,247,
Kansas,10/28/2023,Oklahoma,W 38-33,8,472,4,6,,114,347,
Kansas,11/04/2023,@ Iowa St.,W 28-21,5,286,2,2,,29,184,
Kansas,11/11/2023,Texas Tech,L 13-16,4,216,2,,,,166,
Kansas,11/18/2023,Kansas St.,L 27-31,5,310,5,1,,34,185,
Kansas,11/25/2023,@ Cincinnati,W 49-16,8,515,5,3,,54,390,
Kansas,12/26/2023,"UNLV @Phoenix, AZ",W 49-36,8,445,1,6,,103,342,
