TeamNM,Date,Opponent,Result,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef
Kansas,09/01/2023,Missouri St.,W 48-17,12,2,2,,4.00
Kansas,09/08/2023,Illinois,W 34-23,,5,2,,7.00
Kansas,09/16/2023,@ Nevada,W 31-24,,3,,,3.00
Kansas,09/23/2023,BYU,W 38-27,54,9,2,1/,11.00
Kansas,09/30/2023,@ Texas,L 14-40,6,2,1,,3.00
Kansas,10/07/2023,UCF,W 51-22,,3,,,3.00
Kansas,10/14/2023,@ Oklahoma St.,L 32-39,,5,,,5.00
Kansas,10/28/2023,Oklahoma,W 38-33,37,1,1,1/,2.00
Kansas,11/04/2023,@ Iowa St.,W 28-21,50,2,1,1/,3.00
Kansas,11/11/2023,Texas Tech,L 13-16,,4,1,,5.00
Kansas,11/18/2023,Kansas St.,L 27-31,3,3,1,,4.00
Kansas,11/25/2023,@ Cincinnati,W 49-16,,6,1,,7.00
Kansas,12/26/2023,"UNLV @Phoenix, AZ",W 49-36,15,4,2,,6.00
