TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
Kansas,09/01/2023,Missouri St.,W 48-17,28,22,,276,2,184.94,22.00,12.545,0.786,276.00
Kansas,09/08/2023,Illinois,W 34-23,29,21,1,277,2,168.51,21.00,13.190,0.724,277.00
Kansas,09/16/2023,@ Nevada,W 31-24,27,21,,298,,170.49,21.00,14.190,0.778,298.00
Kansas,09/23/2023,BYU,W 38-27,19,14,,130,3,183.26,14.00,9.286,0.737,130.00
Kansas,09/30/2023,@ Texas,L 14-40,21,9,,136,1,112.97,9.00,15.111,0.429,136.00
Kansas,10/07/2023,UCF,W 51-22,12,8,,91,1,157.87,8.00,11.375,0.667,91.00
Kansas,10/14/2023,@ Oklahoma St.,L 32-39,34,23,2,410,5,205.71,23.00,17.826,0.676,410.00
Kansas,10/28/2023,Oklahoma,W 38-33,32,15,2,218,,91.60,15.00,14.533,0.469,218.00
Kansas,11/04/2023,@ Iowa St.,W 28-21,23,14,,287,1,180.03,14.00,20.500,0.609,287.00
Kansas,11/11/2023,Texas Tech,L 13-16,25,10,1,137,,78.03,10.00,13.700,0.400,137.00
Kansas,11/18/2023,Kansas St.,L 27-31,16,11,2,162,1,149.43,11.00,14.727,0.688,162.00
Kansas,11/25/2023,@ Cincinnati,W 49-16,17,13,,250,2,238.82,13.00,19.231,0.765,250.00
Kansas,12/26/2023,"UNLV @Phoenix, AZ",W 49-36,28,19,3,449,6/,251.84,19.00,23.632,0.679,449.00
