TeamNM,Date,Opponent,Result,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds
Kansas,09/01/2023,Missouri St.,W 48-17,,,
Kansas,09/08/2023,Illinois,W 34-23,1,,-2
Kansas,09/16/2023,@ Nevada,W 31-24,,,
Kansas,09/23/2023,BYU,W 38-27,1,,13
Kansas,09/30/2023,@ Texas,L 14-40,,,
Kansas,10/07/2023,UCF,W 51-22,1,1/,82
Kansas,10/14/2023,@ Oklahoma St.,L 32-39,,,
Kansas,10/28/2023,Oklahoma,W 38-33,,,
Kansas,11/04/2023,@ Iowa St.,W 28-21,1,,13
Kansas,11/11/2023,Texas Tech,L 13-16,,,
Kansas,11/18/2023,Kansas St.,L 27-31,1,,2
Kansas,11/25/2023,@ Cincinnati,W 49-16,,,
Kansas,12/26/2023,"UNLV @Phoenix, AZ",W 49-36,1,,11
