TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
Kansas,09/01/2023,Missouri St.,W 48-17,,,,,,,
Kansas,09/08/2023,Illinois,W 34-23,,1,37,37.0,,37,37
Kansas,09/16/2023,@ Nevada,W 31-24,1,3,119,39.7,,47,119
Kansas,09/23/2023,BYU,W 38-27,1,2,84,42.0,,43,84
Kansas,09/30/2023,@ Texas,L 14-40,3,6,272,45.3,,53,272
Kansas,10/07/2023,UCF,W 51-22,1,1,39,39.0,,39,39
Kansas,10/14/2023,@ Oklahoma St.,L 32-39,,3,122,40.7,,39,122
Kansas,10/28/2023,Oklahoma,W 38-33,,2,86,43.0,,49,86
Kansas,11/04/2023,@ Iowa St.,W 28-21,1,3,116,38.7,,39,116
Kansas,11/11/2023,Texas Tech,L 13-16,,4,132,33.0,,40,132
Kansas,11/18/2023,Kansas St.,L 27-31,3,3,119,39.7,,48,125
Kansas,11/25/2023,@ Cincinnati,W 49-16,1,3,101,33.7,,38,101
Kansas,12/26/2023,"UNLV @Phoenix, AZ",W 49-36,,2,67,33.5,,38,67
