TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
Kansas,09/01/2023,Missouri St.,W 48-17,22,276,22.00,12.55,2,276.00,52
Kansas,09/08/2023,Illinois,W 34-23,21,277,21.00,13.19,2,277.00,48
Kansas,09/16/2023,@ Nevada,W 31-24,21,298,21.00,14.19,,298.00,59
Kansas,09/23/2023,BYU,W 38-27,14,130,14.00,9.29,3,130.00,24
Kansas,09/30/2023,@ Texas,L 14-40,9,136,9.00,15.11,1,136.00,58
Kansas,10/07/2023,UCF,W 51-22,8,91,8.00,11.38,1,91.00,22
Kansas,10/14/2023,@ Oklahoma St.,L 32-39,23,410,23.00,17.83,5,410.00,49
Kansas,10/28/2023,Oklahoma,W 38-33,15,218,15.00,14.53,,218.00,39
Kansas,11/04/2023,@ Iowa St.,W 28-21,14,287,14.00,20.50,1,287.00,80
Kansas,11/11/2023,Texas Tech,L 13-16,10,137,10.00,13.70,,137.00,31
Kansas,11/18/2023,Kansas St.,L 27-31,11,162,11.00,14.73,1,162.00,59
Kansas,11/25/2023,@ Cincinnati,W 49-16,13,250,13.00,19.23,2,250.00,40
Kansas,12/26/2023,"UNLV @Phoenix, AZ",W 49-36,19,449,19.00,23.63,6/,449.00,60
