TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
Kansas,09/01/2023,Missouri St.,W 48-17,6,6,34,2,2,2,2,,,,,
Kansas,09/08/2023,Illinois,W 34-23,5,5,31,2,2,1,1,,,,,
Kansas,09/16/2023,@ Nevada,W 31-24,4,5,28,4,,,,,,,,1/
Kansas,09/23/2023,BYU,W 38-27,4,4,24,,3,1,1,,,,,
Kansas,09/30/2023,@ Texas,L 14-40,,,,,,,,,,,,
Kansas,10/07/2023,UCF,W 51-22,6,7,37,4,1,1,2,,,,,
Kansas,10/14/2023,@ Oklahoma St.,L 32-39,,1,,,,,,,1,,,
Kansas,10/28/2023,Oklahoma,W 38-33,5,6,25,3,,2,3,,,,,
Kansas,11/04/2023,@ Iowa St.,W 28-21,2,2,14,2,,,,,,,,
Kansas,11/11/2023,Texas Tech,L 13-16,2,3,6,,,2,2,,,1,,
Kansas,11/18/2023,Kansas St.,L 27-31,3,4,20,2,1,,,,1,,,
Kansas,11/25/2023,@ Cincinnati,W 49-16,3,3,21,2,1,,,,,,,
Kansas,12/26/2023,"UNLV @Phoenix, AZ",W 49-36,3,4,21,1,2,,,,,1,,
