TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
Kansas,09/01/2023,Missouri St.,W 48-17,38,245,259,14,6.45,4,245.00,48
Kansas,09/08/2023,Illinois,W 34-23,44,262,284,22,5.95,2,262.00,43
Kansas,09/16/2023,@ Nevada,W 31-24,40,143,164,21,3.58,4,143.00,16
Kansas,09/23/2023,BYU,W 38-27,37,221,238,17,5.97,,221.00,24
Kansas,09/30/2023,@ Texas,L 14-40,25,124,142,18,4.96,1,124.00,27
Kansas,10/07/2023,UCF,W 51-22,51,399,425,26,7.82,5,399.00,75
Kansas,10/14/2023,@ Oklahoma St.,L 32-39,29,90,127,37,3.10,,90.00,23
Kansas,10/28/2023,Oklahoma,W 38-33,41,225,230,5,5.49,4,225.00,38
Kansas,11/04/2023,@ Iowa St.,W 28-21,35,74,91,17,2.11,2,74.00,9
Kansas,11/11/2023,Texas Tech,L 13-16,45,207,242,35,4.60,1,207.00,60
Kansas,11/18/2023,Kansas St.,L 27-31,41,234,262,28,5.71,3,234.00,36
Kansas,11/25/2023,@ Cincinnati,W 49-16,34,312,323,11,9.18,5,312.00,50
Kansas,12/26/2023,"UNLV @Phoenix, AZ",W 49-36,39,142,161,19,3.64,1,142.00,17
