TeamNM,Date,Opponent,Result,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks
Kansas,09/01/2023,Missouri St.,W 48-17,1,,5,1.0
Kansas,09/08/2023,Illinois,W 34-23,6/,,28,6.0
Kansas,09/16/2023,@ Nevada,W 31-24,1,,1,1.0
Kansas,09/23/2023,BYU,W 38-27,2,2,26,3.0
Kansas,09/30/2023,@ Texas,L 14-40,1,2,5,2.0
Kansas,10/07/2023,UCF,W 51-22,4,,39,4.0
Kansas,10/14/2023,@ Oklahoma St.,L 32-39,1,,2,1.0
Kansas,10/28/2023,Oklahoma,W 38-33,1,,1,1.0
Kansas,11/04/2023,@ Iowa St.,W 28-21,1,2,13,2.0
Kansas,11/11/2023,Texas Tech,L 13-16,3,,24,3.0
Kansas,11/18/2023,Kansas St.,L 27-31,1,,6,1.0
Kansas,11/25/2023,@ Cincinnati,W 49-16,,,,
Kansas,12/26/2023,"UNLV @Phoenix, AZ",W 49-36,1,,11,1.0
