TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
Kansas,09/01/2023,Missouri St.,W 48-17,6,6,6,,,,,,,,2,,48
Kansas,09/08/2023,Illinois,W 34-23,4,4,4,,,,,,,,2,,34
Kansas,09/16/2023,@ Nevada,W 31-24,4,4,4,,,,,,,,1,,31
Kansas,09/23/2023,BYU,W 38-27,5,5,5,,,,,,,,1,,38
Kansas,09/30/2023,@ Texas,L 14-40,2,2,2,,,,,,,,,,14
Kansas,10/07/2023,UCF,W 51-22,7,6,6,,1/,,,,,,1,,51
Kansas,10/14/2023,@ Oklahoma St.,L 32-39,5,2,3,,1/,,,1,,,,,32
Kansas,10/28/2023,Oklahoma,W 38-33,5,2,2,,1/,,,2/,,,2,,38
Kansas,11/04/2023,@ Iowa St.,W 28-21,4,4,4,,,,,,,,,,28
Kansas,11/11/2023,Texas Tech,L 13-16,1,1,1,,,,,,,,2,,13
Kansas,11/18/2023,Kansas St.,L 27-31,4,3,4,,,,,,,,,,27
Kansas,11/25/2023,@ Cincinnati,W 49-16,7,7,7,,,,,,,,,,49
Kansas,12/26/2023,"UNLV @Phoenix, AZ",W 49-36,7,7,7,,,,,,,,,,49
