TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
Kansas St.,09/02/2023,Southeast Mo. St.,W 45-0,31,22,1.0,360,3.0,194.0,22.0,16.364,0.71,360.0,40,228,235,7,5.7,3,228.0,43,22,360,22.0,16.36,3.0,360.0,44,588,8.28,10,2.0,4,29:25,71,588,8.28,11,16,1.0,4,4.0,36,36.0,,,360,,,,33.0,621,,63,6,6,6,,,,,,,,1.0,,45,2.0,4.0,37.0,4.0,46,8,9,4.0,48,54,,2,,,2.0,,,,,1.0,1.0,,51.0,2,2,82,41.0,,42,82,,,,8,520,6.0,1.0,,33.0,333,,4,5,28,3.0,1.0,,,,,1.0,,,,,,,,,1.0
Kansas St.,09/09/2023,Troy,W 42-13,32,21,1.0,250,3.0,155.94,21.0,11.905,0.656,250.0,38,147,163,16,3.87,3,147.0,20,21,250,21.0,11.9,3.0,250.0,40,397,5.67,15,,10,29:37,70,397,5.67,9,10,1.0,5,5.0,45,45.0,,11.0,250,1.0,,37.0,63.0,508,,66,6,6,6,,,,,,,,,,42,4.0,,30.0,4.0,36,12,8,2.0,36,48,11.0,4,1.0,,5.0,3.0,,,,,,,,3,5,196,39.2,1.0,52,176,3.0,,37.0,7,428,4.0,3.0,,63.0,277,,5,5,35,3.0,2.0,,,,,,,,1,1.0,,1,,1.0,1.0
Kansas St.,09/16/2023,@ Missouri,L 27-30,39,25,1.0,270,3.0,142.51,25.0,10.8,0.641,270.0,35,138,152,14,3.94,,138.0,17,25,270,25.0,10.8,3.0,270.0,34,408,5.51,17,,8,34:00,74,408,5.51,7,11,1.0,7,7.0,65,65.0,,,270,,,31.0,36.0,475,,64,3,3,3,,,,,,,,2.0,,27,2.0,,13.0,2.0,43,16,7,2.0,25,59,,4,,,4.0,,,,,2.0,3.0,,46.0,2,5,192,38.4,,47,192,3.0,,31.0,6,385,4.0,1.0,,36.0,243,,4,4,24,,3.0,1.0,1.0,,,,,,,,,,,,1.0
Kansas St.,09/23/2023,UCF,W 44-31,42,27,1.0,255,,110.52,27.0,9.444,0.643,255.0,40,281,290,9,7.03,6/,281.0,36,27,255,27.0,9.44,,255.0,24,536,6.54,15,2.0,9,34:23,82,536,6.54,12,16,4.0,5,5.0,63,63.0,,,255,1.0,,,50.0,586,,73,6,5,6,,,,,,,,1.0,,44,4.0,,30.0,4.0,43,2,8,,35,45,,2,1.0,,3.0,1.0,,,,1.0,2.0,,30.0,,1,69,69.0,,69,57,1.0,,,8,506,4.0,4.0,,50.0,311,,6,7,37,5.0,,1.0,2.0,,,,,,1,1.0,,1,,1.0,1.0
Kansas St.,10/06/2023,@ Oklahoma St.,L 21-29,34,15,3.0,152,1.0,73.73,15.0,10.133,0.441,152.0,38,220,252,32,5.79,2,220.0,70,15,152,15.0,10.13,1.0,152.0,29,372,5.17,16,4.0,6,25:18,72,372,5.17,12,6,,4,4.0,32,32.0,,,152,,,,15.0,387,,55,3,1,1,1/,1/,,,1.0,,,,,21,,,,,39,36,2,10.0,11,75,,2,,,2.0,,,,,,,,,1,4,194,48.5,,57,194,1.0,,,4,241,1.0,1.0,,15.0,168,,3,4,21,2.0,1.0,,,,,1.0,,,,,1.0,,,,3.0
Kansas St.,10/14/2023,@ Texas Tech,W 38-21,18,14,,163,,153.84,14.0,11.643,0.778,163.0,47,272,288,16,5.79,5,272.0,30,14,163,14.0,11.64,,163.0,42,435,6.69,11,1.0,4,32:27,65,435,6.69,14,8,2.0,5,5.0,45,45.0,,24.0,163,3.0,,-1.0,16.0,474,,67,5,5,5,,,,,,,,1.0,,38,2.0,,8.0,2.0,50,18,3,,15,68,24.0,2,3.0,,5.0,,,,,1.0,1.0,,47.0,4/,5,219,43.8,,55,219,2.0,,-1.0,7,455,3.0,1.0,,16.0,304,,4,4,28,4.0,,,,,,,,,,3.0,,,,3.0,
Kansas St.,10/21/2023,TCU,W 41-3,26,15,,244,4.0,187.29,15.0,16.267,0.577,244.0,52,343,365,22,6.6,1,343.0,30,15,244,15.0,16.27,4.0,244.0,61,587,7.53,13,1.0,10,38:50,78,587,7.53,20,8,1.0,6,6.0,45,45.0,,,244,1.0,,5.0,,592,,69,5,5,5,,,,,,,,2.0,,41,1.0,2.0,12.0,2.0,35,20,1,2.0,12,55,,6,1.0,,7.0,,,,,2.0,2.0,,40.0,1,1,34,34.0,,34,34,1.0,,5.0,7,417,1.0,,,,360,,6,6,34,1.0,3.0,2.0,2.0,,,,,,,1.0,,,,1.0,
Kansas St.,10/28/2023,Houston,W 41-0,24,21,,215,3.0,204.0,21.0,10.238,0.875,215.0,46,179,199,20,3.89,3,179.0,14,21,215,21.0,10.24,3.0,215.0,40,394,5.63,14,1.0,10,34:34,70,394,5.63,14,9,1.0,1,1.0,5,5.0,,16.0,215,1.0,,,,410,,68,6,5,6,,,,,,,,,,41,1.0,,9.0,1.0,38,8,5,,14,46,16.0,5,1.0,,6.0,1.0,,,,,,,,2,3,114,38.0,,44,110,,,,7,394,2.0,,,,309,,5,5,34,3.0,2.0,,,,,,,,1,1.0,,1,1.0,1.0,
Kansas St.,11/04/2023,@ Texas,L 30-33 (1 OT),43,26,1.0,327,4.0,150.39,26.0,12.577,0.605,327.0,29,30,69,39,1.03,,30.0,8,26,327,26.0,12.58,4.0,327.0,32,357,4.96,13,2.0,2,27:52,72,357,4.96,3,16,1.0,7,7.0,50,50.0,,37.0,327,2.0,,4.0,,398,,58,4,3,3,,1/,,,,,,1.0,,30,,,,,39,32,3,,6,71,37.0,6,2.0,,8.0,1.0,,,,1.0,2.0,,45.0,1,7,318,45.4,,58,266,1.0,,4.0,6,369,4.0,,,,252,,2,4,14,,2.0,,1.0,,,1.0,,,1,2.0,1.0,1,1.0,2.0,1.0
Kansas St.,11/11/2023,Baylor,W 59-25,34,21,,268,4.0,166.8,21.0,12.762,0.618,268.0,37,183,195,12,4.95,2,183.0,35,21,268,21.0,12.76,4.0,268.0,40,451,6.35,12,3.0,4,28:02,71,451,6.35,6,15,1.0,5,5.0,42,42.0,,45.0,268,1.0,15.0,-5.0,70.0,576,,64,8,8,8,,,,,,,,1.0,,59,3.0,,24.0,3.0,53,10,7,2.0,54,63,45.0,7,1.0,1/,8.0,3.0,,1/,15.0,1.0,1.0,,33.0,1,4,189,47.3,,49,88,1.0,,-5.0,10,610,2.0,4.0,,70.0,400,,6,6,38,2.0,3.0,1.0,1.0,,,,,,3/,1.0,,3/,,1.0,
