TeamNM,Date,Opponent,Result,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds
Kansas St.,09/02/2023,Southeast Mo. St.,W 45-0,,,,
Kansas St.,09/09/2023,Troy,W 42-13,3,,,
Kansas St.,09/16/2023,@ Missouri,L 27-30,,,,
Kansas St.,09/23/2023,UCF,W 44-31,1,,,
Kansas St.,10/06/2023,@ Oklahoma St.,L 21-29,,,,
Kansas St.,10/14/2023,@ Texas Tech,W 38-21,,,,
Kansas St.,10/21/2023,TCU,W 41-3,,,,
Kansas St.,10/28/2023,Houston,W 41-0,1,,,
Kansas St.,11/04/2023,@ Texas,L 30-33 (1 OT),1,,,
Kansas St.,11/11/2023,Baylor,W 59-25,3,,1/,15
Kansas St.,11/18/2023,@ Kansas,W 31-27,1,,,
Kansas St.,11/25/2023,Iowa St.,L 35-42,1,,,
Kansas St.,12/28/2023,"NC State @Orlando, FL",W 28-19,,,,
