TeamNM,Date,Opponent,Result,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM
Kansas St.,09/02/2023,Southeast Mo. St.,W 45-0,1,1,,51
Kansas St.,09/09/2023,Troy,W 42-13,,,,
Kansas St.,09/16/2023,@ Missouri,L 27-30,2,3,,46
Kansas St.,09/23/2023,UCF,W 44-31,1,2,,30
Kansas St.,10/06/2023,@ Oklahoma St.,L 21-29,,,,
Kansas St.,10/14/2023,@ Texas Tech,W 38-21,1,1,,47
Kansas St.,10/21/2023,TCU,W 41-3,2,2,,40
Kansas St.,10/28/2023,Houston,W 41-0,,,,
Kansas St.,11/04/2023,@ Texas,L 30-33 (1 OT),1,2,,45
Kansas St.,11/11/2023,Baylor,W 59-25,1,1,,33
Kansas St.,11/18/2023,@ Kansas,W 31-27,,,,
Kansas St.,11/25/2023,Iowa St.,L 35-42,2,2,,23
Kansas St.,12/28/2023,"NC State @Orlando, FL",W 28-19,,,,
