TeamNM,Date,Opponent,Result,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds
Kansas St.,09/02/2023,Southeast Mo. St.,W 45-0,8,520,6,1,,33,333,
Kansas St.,09/09/2023,Troy,W 42-13,7,428,4,3,,63,277,
Kansas St.,09/16/2023,@ Missouri,L 27-30,6,385,4,1,,36,243,
Kansas St.,09/23/2023,UCF,W 44-31,8,506,4,4,,50,311,
Kansas St.,10/06/2023,@ Oklahoma St.,L 21-29,4,241,1,1,,15,168,
Kansas St.,10/14/2023,@ Texas Tech,W 38-21,7,455,3,1,,16,304,
Kansas St.,10/21/2023,TCU,W 41-3,7,417,1,,,,360,
Kansas St.,10/28/2023,Houston,W 41-0,7,394,2,,,,309,
Kansas St.,11/04/2023,@ Texas,L 30-33 (1 OT),6,369,4,,,,252,
Kansas St.,11/11/2023,Baylor,W 59-25,10,610,2,4,,70,400,
Kansas St.,11/18/2023,@ Kansas,W 31-27,5,307,3,,,,198,
Kansas St.,11/25/2023,Iowa St.,L 35-42,7,346,,4,,61,276,
Kansas St.,12/28/2023,"NC State @Orlando, FL",W 28-19,5,234,,,,,185,
