TeamNM,Date,Opponent,Result,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef
Kansas St.,09/02/2023,Southeast Mo. St.,W 45-0,,2,,,2.00
Kansas St.,09/09/2023,Troy,W 42-13,11,4,1,,5.00
Kansas St.,09/16/2023,@ Missouri,L 27-30,,4,,,4.00
Kansas St.,09/23/2023,UCF,W 44-31,,2,1,,3.00
Kansas St.,10/06/2023,@ Oklahoma St.,L 21-29,,2,,,2.00
Kansas St.,10/14/2023,@ Texas Tech,W 38-21,24,2,3,,5.00
Kansas St.,10/21/2023,TCU,W 41-3,,6,1,,7.00
Kansas St.,10/28/2023,Houston,W 41-0,16,5,1,,6.00
Kansas St.,11/04/2023,@ Texas,L 30-33 (1 OT),37,6,2,,8.00
Kansas St.,11/11/2023,Baylor,W 59-25,45,7,1,1/,8.00
Kansas St.,11/18/2023,@ Kansas,W 31-27,,1,2,,3.00
Kansas St.,11/25/2023,Iowa St.,L 35-42,,1,,,1.00
Kansas St.,12/28/2023,"NC State @Orlando, FL",W 28-19,3,3,1,,4.00
