TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
Kansas St.,09/02/2023,Southeast Mo. St.,W 45-0,31,22,1,360,3,194.00,22.00,16.364,0.710,360.00
Kansas St.,09/09/2023,Troy,W 42-13,32,21,1,250,3,155.94,21.00,11.905,0.656,250.00
Kansas St.,09/16/2023,@ Missouri,L 27-30,39,25,1,270,3,142.51,25.00,10.800,0.641,270.00
Kansas St.,09/23/2023,UCF,W 44-31,42,27,1,255,,110.52,27.00,9.444,0.643,255.00
Kansas St.,10/06/2023,@ Oklahoma St.,L 21-29,34,15,3,152,1,73.73,15.00,10.133,0.441,152.00
Kansas St.,10/14/2023,@ Texas Tech,W 38-21,18,14,,163,,153.84,14.00,11.643,0.778,163.00
Kansas St.,10/21/2023,TCU,W 41-3,26,15,,244,4,187.29,15.00,16.267,0.577,244.00
Kansas St.,10/28/2023,Houston,W 41-0,24,21,,215,3,204.00,21.00,10.238,0.875,215.00
Kansas St.,11/04/2023,@ Texas,L 30-33 (1 OT),43,26,1,327,4,150.39,26.00,12.577,0.605,327.00
Kansas St.,11/11/2023,Baylor,W 59-25,34,21,,268,4,166.80,21.00,12.762,0.618,268.00
Kansas St.,11/18/2023,@ Kansas,W 31-27,24,13,1,165,2,131.08,13.00,12.692,0.542,165.00
Kansas St.,11/25/2023,Iowa St.,L 35-42,48,24,1,288,1,103.11,24.00,12.000,0.500,288.00
Kansas St.,12/28/2023,"NC State @Orlando, FL",W 28-19,31,14,,178,2,114.68,14.00,12.714,0.452,178.00
