TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
Kansas St.,09/02/2023,Southeast Mo. St.,W 45-0,2,2,82,41.0,,42,82
Kansas St.,09/09/2023,Troy,W 42-13,3,5,196,39.2,1,52,176
Kansas St.,09/16/2023,@ Missouri,L 27-30,2,5,192,38.4,,47,192
Kansas St.,09/23/2023,UCF,W 44-31,,1,69,69.0,,69,57
Kansas St.,10/06/2023,@ Oklahoma St.,L 21-29,1,4,194,48.5,,57,194
Kansas St.,10/14/2023,@ Texas Tech,W 38-21,4/,5,219,43.8,,55,219
Kansas St.,10/21/2023,TCU,W 41-3,1,1,34,34.0,,34,34
Kansas St.,10/28/2023,Houston,W 41-0,2,3,114,38.0,,44,110
Kansas St.,11/04/2023,@ Texas,L 30-33 (1 OT),1,7,318,45.4,,58,266
Kansas St.,11/11/2023,Baylor,W 59-25,1,4,189,47.3,,49,88
Kansas St.,11/18/2023,@ Kansas,W 31-27,1,4,131,32.8,,42,129
Kansas St.,11/25/2023,Iowa St.,L 35-42,2,5,182,36.4,,48,182
Kansas St.,12/28/2023,"NC State @Orlando, FL",W 28-19,2,7,230,32.9,,46,230
