TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
Kansas St.,09/02/2023,Southeast Mo. St.,W 45-0,22,360,22.00,16.36,3,360.00,44
Kansas St.,09/09/2023,Troy,W 42-13,21,250,21.00,11.90,3,250.00,40
Kansas St.,09/16/2023,@ Missouri,L 27-30,25,270,25.00,10.80,3,270.00,34
Kansas St.,09/23/2023,UCF,W 44-31,27,255,27.00,9.44,,255.00,24
Kansas St.,10/06/2023,@ Oklahoma St.,L 21-29,15,152,15.00,10.13,1,152.00,29
Kansas St.,10/14/2023,@ Texas Tech,W 38-21,14,163,14.00,11.64,,163.00,42
Kansas St.,10/21/2023,TCU,W 41-3,15,244,15.00,16.27,4,244.00,61
Kansas St.,10/28/2023,Houston,W 41-0,21,215,21.00,10.24,3,215.00,40
Kansas St.,11/04/2023,@ Texas,L 30-33 (1 OT),26,327,26.00,12.58,4,327.00,32
Kansas St.,11/11/2023,Baylor,W 59-25,21,268,21.00,12.76,4,268.00,40
Kansas St.,11/18/2023,@ Kansas,W 31-27,13,165,13.00,12.69,2,165.00,46
Kansas St.,11/25/2023,Iowa St.,L 35-42,24,288,24.00,12.00,1,288.00,44
Kansas St.,12/28/2023,"NC State @Orlando, FL",W 28-19,14,178,14.00,12.71,2,178.00,37
