TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
Kansas St.,09/02/2023,Southeast Mo. St.,W 45-0,4,5,28,3,1,,,,,1,,
Kansas St.,09/09/2023,Troy,W 42-13,5,5,35,3,2,,,,,,,
Kansas St.,09/16/2023,@ Missouri,L 27-30,4,4,24,,3,1,1,,,,,
Kansas St.,09/23/2023,UCF,W 44-31,6,7,37,5,,1,2,,,,,
Kansas St.,10/06/2023,@ Oklahoma St.,L 21-29,3,4,21,2,1,,,,,1,,
Kansas St.,10/14/2023,@ Texas Tech,W 38-21,4,4,28,4,,,,,,,,
Kansas St.,10/21/2023,TCU,W 41-3,6,6,34,1,3,2,2,,,,,
Kansas St.,10/28/2023,Houston,W 41-0,5,5,34,3,2,,,,,,,
Kansas St.,11/04/2023,@ Texas,L 30-33 (1 OT),2,4,14,,2,,1,,,1,,
Kansas St.,11/11/2023,Baylor,W 59-25,6,6,38,2,3,1,1,,,,,
Kansas St.,11/18/2023,@ Kansas,W 31-27,4,4,29,2,2,,,,,,,
Kansas St.,11/25/2023,Iowa St.,L 35-42,6,7,35,3,1,2,2,,,1,,
Kansas St.,12/28/2023,"NC State @Orlando, FL",W 28-19,3,4,21,2,1,,,,,,,1/
