TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
Kansas St.,09/02/2023,Southeast Mo. St.,W 45-0,40,228,235,7,5.70,3,228.00,43
Kansas St.,09/09/2023,Troy,W 42-13,38,147,163,16,3.87,3,147.00,20
Kansas St.,09/16/2023,@ Missouri,L 27-30,35,138,152,14,3.94,,138.00,17
Kansas St.,09/23/2023,UCF,W 44-31,40,281,290,9,7.03,6/,281.00,36
Kansas St.,10/06/2023,@ Oklahoma St.,L 21-29,38,220,252,32,5.79,2,220.00,70
Kansas St.,10/14/2023,@ Texas Tech,W 38-21,47,272,288,16,5.79,5,272.00,30
Kansas St.,10/21/2023,TCU,W 41-3,52,343,365,22,6.60,1,343.00,30
Kansas St.,10/28/2023,Houston,W 41-0,46,179,199,20,3.89,3,179.00,14
Kansas St.,11/04/2023,@ Texas,L 30-33 (1 OT),29,30,69,39,1.03,,30.00,8
Kansas St.,11/11/2023,Baylor,W 59-25,37,183,195,12,4.95,2,183.00,35
Kansas St.,11/18/2023,@ Kansas,W 31-27,37,166,207,41,4.49,2,166.00,52
Kansas St.,11/25/2023,Iowa St.,L 35-42,54,209,221,12,3.87,3,209.00,15
Kansas St.,12/28/2023,"NC State @Orlando, FL",W 28-19,40,257,266,9,6.43,2,257.00,30
