TeamNM,Date,Opponent,Result,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks
Kansas St.,09/02/2023,Southeast Mo. St.,W 45-0,2,4,37,4.0
Kansas St.,09/09/2023,Troy,W 42-13,4,,30,4.0
Kansas St.,09/16/2023,@ Missouri,L 27-30,2,,13,2.0
Kansas St.,09/23/2023,UCF,W 44-31,4,,30,4.0
Kansas St.,10/06/2023,@ Oklahoma St.,L 21-29,,,,
Kansas St.,10/14/2023,@ Texas Tech,W 38-21,2,,8,2.0
Kansas St.,10/21/2023,TCU,W 41-3,1,2,12,2.0
Kansas St.,10/28/2023,Houston,W 41-0,1,,9,1.0
Kansas St.,11/04/2023,@ Texas,L 30-33 (1 OT),,,,
Kansas St.,11/11/2023,Baylor,W 59-25,3,,24,3.0
Kansas St.,11/18/2023,@ Kansas,W 31-27,2,,15,2.0
Kansas St.,11/25/2023,Iowa St.,L 35-42,,,,
Kansas St.,12/28/2023,"NC State @Orlando, FL",W 28-19,,2,2,1.0
