TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
Kansas St.,09/02/2023,Southeast Mo. St.,W 45-0,6,6,6,,,,,,,,1,,45
Kansas St.,09/09/2023,Troy,W 42-13,6,6,6,,,,,,,,,,42
Kansas St.,09/16/2023,@ Missouri,L 27-30,3,3,3,,,,,,,,2,,27
Kansas St.,09/23/2023,UCF,W 44-31,6,5,6,,,,,,,,1,,44
Kansas St.,10/06/2023,@ Oklahoma St.,L 21-29,3,1,1,1/,1/,,,1,,,,,21
Kansas St.,10/14/2023,@ Texas Tech,W 38-21,5,5,5,,,,,,,,1,,38
Kansas St.,10/21/2023,TCU,W 41-3,5,5,5,,,,,,,,2,,41
Kansas St.,10/28/2023,Houston,W 41-0,6,5,6,,,,,,,,,,41
Kansas St.,11/04/2023,@ Texas,L 30-33 (1 OT),4,3,3,,1/,,,,,,1,,30
Kansas St.,11/11/2023,Baylor,W 59-25,8,8,8,,,,,,,,1,,59
Kansas St.,11/18/2023,@ Kansas,W 31-27,4,3,3,1/,1/,,,,1/,,,,31
Kansas St.,11/25/2023,Iowa St.,L 35-42,4,3,3,,,1,1,1,,,2,,35
Kansas St.,12/28/2023,"NC State @Orlando, FL",W 28-19,4,4,4,,,,,,,,,,28
