TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
Kansas St.,09/02/2023,Southeast Mo. St.,W 45-0,46,8,9,4,48,54
Kansas St.,09/09/2023,Troy,W 42-13,36,12,8,2,36,48
Kansas St.,09/16/2023,@ Missouri,L 27-30,43,16,7,2,25,59
Kansas St.,09/23/2023,UCF,W 44-31,43,2,8,,35,45
Kansas St.,10/06/2023,@ Oklahoma St.,L 21-29,39,36,2,10,11,75
Kansas St.,10/14/2023,@ Texas Tech,W 38-21,50,18,3,,15,68
Kansas St.,10/21/2023,TCU,W 41-3,35,20,1,2,12,55
Kansas St.,10/28/2023,Houston,W 41-0,38,8,5,,14,46
Kansas St.,11/04/2023,@ Texas,L 30-33 (1 OT),39,32,3,,6,71
Kansas St.,11/11/2023,Baylor,W 59-25,53,10,7,2,54,63
Kansas St.,11/18/2023,@ Kansas,W 31-27,47,2,6,,28,49
Kansas St.,11/25/2023,Iowa St.,L 35-42,21,8,3,,3,29
Kansas St.,12/28/2023,"NC State @Orlando, FL",W 28-19,33,22,2,4,6,55
